Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,3.84025e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.0280e-01,1.24,0.92,1.52,1.28
-1.0276e-01,1.32,1.56,1.52,1.76
-1.0272e-01,1.16,1,1.52,1.28
-1.0268e-01,1.24,1.56,1.52,1.84
-1.0265e-01,1.24,1,1.6,1.36
-1.0261e-01,1.16,1.56,1.52,1.84
-1.0257e-01,1.24,1,1.6,1.36
-1.0253e-01,1.16,1.56,1.52,1.84
-1.0249e-01,1.24,1,1.6,1.36
-1.0245e-01,1.24,1.48,1.6,1.84
-1.0242e-01,1.16,1,1.6,1.36
-1.0238e-01,1.16,1.48,1.6,1.84
-1.0234e-01,1.16,0.92,1.6,1.36
-1.0230e-01,1.16,1.48,1.6,1.92
-1.0226e-01,1.16,1,1.68,1.44
-1.0222e-01,1.16,1.48,1.6,1.84
-1.0219e-01,1.16,1,1.6,1.44
-1.0215e-01,1.24,1.48,1.68,1.92
-1.0211e-01,1.16,1,1.68,1.44
-1.0207e-01,1.24,1.48,1.68,1.92
-1.0203e-01,1.16,0.92,1.68,1.52
-1.0199e-01,1.16,1.48,1.68,2
-1.0196e-01,1.16,1,1.68,1.52
-1.0192e-01,1.16,1.48,1.68,2
-1.0188e-01,1.24,1,1.76,1.52
-1.0184e-01,1.16,1.48,1.68,2
-1.0180e-01,1.16,0.92,1.68,1.52
-1.0176e-01,1.16,1.4,1.76,2
-1.0172e-01,1.16,1,1.76,1.6
-1.0169e-01,1.24,1.48,1.76,2
-1.0165e-01,1.16,0.92,1.76,1.6
-1.0161e-01,1.16,1.48,1.84,2
-1.0157e-01,1.24,1,1.76,1.6
-1.0153e-01,1.24,1.48,1.84,2.08
-1.0149e-01,1.24,1,1.84,1.6
-1.0146e-01,1.24,1.48,1.84,2
-1.0142e-01,1.16,0.92,1.84,1.6
