Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,,,
Horizontal Units,S,,,,,
Horizontal Scale,0.01,,,,,
Sample Interval,1.92012e-05,,,,,
Filter Frequency,2e+08,,,,,
Record Length,5208,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,
Vertical Units,V,,V,,V,
Vertical Offset,0,,0,,0,
Vertical Scale,1,,0.5,,0.2,
Label,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
1.8800e-02,0.76,0.52,0.78,0.68,-0.012,-0.036
1.8819e-02,0.72,0.92,0.76,0.94,-0.012,0.02
1.8838e-02,0.72,0.64,0.76,0.7,-0.012,-0.036
1.8858e-02,0.76,0.88,0.78,0.88,-0.012,0.012
1.8877e-02,0.64,0.52,0.92,0.68,-0.012,-0.036
1.8896e-02,0.76,1,0.78,0.96,-0.004,0.02
1.8915e-02,0.76,0.56,0.8,0.68,-0.012,-0.036
1.8934e-02,0.76,1,0.8,0.94,-0.012,0.012
1.8954e-02,0.84,0.6,0.78,0.68,-0.012,-0.036
1.8973e-02,0.84,1,0.78,0.98,-0.004,0.02
1.8992e-02,0.8,0.6,0.8,0.68,-0.004,-0.036
1.9011e-02,0.8,1.04,0.78,0.98,-0.02,0.028
1.9030e-02,0.84,0.76,0.78,0.74,-0.004,-0.036
1.9050e-02,0.84,0.92,0.76,0.84,-0.004,0.012
1.9069e-02,0.76,0.6,0.8,0.68,-0.004,-0.036
1.9088e-02,0.88,1.04,0.78,0.98,-0.004,0.02
1.9107e-02,0.92,0.64,0.78,0.68,-0.012,-0.036
1.9126e-02,0.88,1.08,0.76,0.98,-0.012,0.02
1.9146e-02,0.92,0.64,0.8,0.7,-0.004,-0.036
1.9165e-02,0.88,1.08,0.82,0.98,-0.012,0.02
1.9184e-02,0.92,0.68,0.78,0.68,-0.012,-0.036
1.9203e-02,0.92,1.12,0.78,1,-0.012,0.012
1.9222e-02,0.92,0.88,0.8,0.74,-0.004,-0.036
1.9242e-02,0.96,1.04,0.8,0.84,-0.02,0.012
1.9261e-02,0.92,0.72,0.8,0.72,-0.004,-0.036
1.9280e-02,0.92,1.16,0.78,0.98,-0.012,0.02
1.9299e-02,0.96,0.72,0.82,0.7,-0.012,-0.036
1.9318e-02,0.92,1.16,0.8,0.98,-0.012,0.02
1.9338e-02,0.96,0.76,0.8,0.7,-0.012,-0.036
1.9357e-02,1,1.16,0.8,1,-0.012,0.012
1.9376e-02,1,0.88,0.78,0.74,-0.012,-0.036
1.9395e-02,0.96,1.12,0.8,0.88,-0.004,0.012
1.9414e-02,1.08,0.76,0.98,0.7,-0.02,-0.036
1.9434e-02,1,1.2,0.82,0.98,-0.004,0.02
1.9453e-02,1.04,0.76,0.78,0.72,-0.012,-0.036
1.9472e-02,1.04,1.24,0.8,0.98,-0.012,0.02
1.9491e-02,1.04,0.8,0.8,0.72,-0.012,-0.036
1.9510e-02,1.08,1.24,0.82,1,-0.02,0.02
1.9530e-02,1.04,0.8,0.82,0.72,-0.012,-0.036
1.9549e-02,1.04,1.24,0.82,1,-0.004,0.012
1.9568e-02,1.04,1,0.82,0.76,-0.02,-0.036
1.9587e-02,1.08,1.12,0.82,0.88,-0.012,0.012
1.9606e-02,1.08,0.84,0.84,0.72,-0.012,-0.036
1.9626e-02,1.08,1.28,0.8,0.98,-0.02,0.02
1.9645e-02,1.08,0.84,0.8,0.7,-0.02,-0.036
1.9664e-02,1.08,1.28,0.8,1,-0.004,0.012
1.9683e-02,1.08,0.84,0.82,0.72,-0.012,-0.036
1.9702e-02,1.12,1.28,0.8,1,-0.02,0.012
1.9722e-02,1.12,0.84,0.82,0.72,-0.004,-0.036
1.9741e-02,1.12,1.32,0.84,1,-0.02,0.02
1.9760e-02,1.16,1.04,0.84,0.76,-0.012,-0.028
1.9779e-02,1.12,1.2,0.82,0.88,-0.012,0.02
1.9798e-02,1.16,0.88,0.82,0.72,-0.02,-0.036
1.9818e-02,1.12,1.32,0.8,1,-0.012,0.012
1.9837e-02,1.16,0.88,0.82,0.72,-0.012,-0.036
1.9856e-02,1.2,1.36,0.78,1,-0.004,0.02
1.9875e-02,1.16,0.92,0.82,0.72,-0.02,-0.028
1.9894e-02,1.16,1.36,0.86,1.02,-0.004,0.02
1.9914e-02,1.16,1.08,0.82,0.74,-0.012,-0.036
1.9933e-02,1.2,1.28,0.8,0.9,-0.004,0.012
1.9952e-02,1.2,0.92,0.82,0.72,-0.004,-0.036
1.9971e-02,1.16,1.36,0.82,1,-0.02,0.02
1.9990e-02,1.2,0.96,0.84,0.72,-0.004,-0.036
2.0010e-02,1.16,1.36,0.82,1,-0.012,0.02
2.0029e-02,1.2,1.04,0.84,0.74,-0.012,-0.036
2.0048e-02,1.24,1.36,0.86,1.02,-0.012,0.012
2.0067e-02,1.2,1.04,0.82,0.74,-0.012,-0.036
2.0086e-02,1.2,1.36,0.84,1.04,-0.004,0.02
2.0106e-02,1.24,1.16,0.84,0.78,-0.012,-0.036
2.0125e-02,1.24,1.28,0.84,0.9,-0.012,0.012
2.0144e-02,1.24,1.04,0.84,0.72,-0.012,-0.036
2.0163e-02,1.28,1.36,0.82,1.04,-0.012,0.02
2.0182e-02,1.24,1.04,0.84,0.72,-0.012,-0.028
2.0202e-02,1.28,1.36,0.84,1.04,-0.02,0.012
2.0221e-02,1.24,1.04,0.84,0.7,-0.004,-0.036
2.0240e-02,1.24,1.4,0.84,1.04,-0.012,0.012
2.0259e-02,1.28,1.08,0.84,0.72,-0.012,-0.036
2.0278e-02,1.28,1.36,0.82,1.04,-0.02,0.012
2.0298e-02,1.28,1.24,0.84,0.78,-0.012,-0.036
2.0317e-02,1.28,1.36,0.84,0.9,-0.012,0.02
2.0336e-02,1.28,1.12,0.86,0.7,-0.004,-0.036
2.0355e-02,1.28,1.4,0.86,1.04,-0.004,0.02
2.0375e-02,1.32,1.12,0.86,0.72,-0.028,-0.036
2.0394e-02,1.32,1.4,0.86,1.04,-0.004,0.02
2.0413e-02,1.28,1.12,0.82,0.7,-0.02,-0.036
2.0432e-02,1.28,1.4,0.84,1.06,-0.012,0.012
2.0451e-02,1.32,1.24,0.82,0.8,-0.02,-0.036
2.0471e-02,1.32,1.36,0.82,0.9,-0.02,0.012
2.0490e-02,1.32,1.12,0.82,0.7,-0.012,-0.028
2.0509e-02,1.28,1.4,0.86,1.04,-0.004,0.028
2.0528e-02,1.32,1.16,0.88,0.72,-0.004,-0.036
2.0547e-02,1.32,1.44,0.86,1.04,-0.02,0.02
2.0567e-02,1.32,1.2,0.84,0.72,-0.004,-0.036
2.0586e-02,1.36,1.44,0.84,1.04,-0.012,0.012
2.0605e-02,1.36,1.16,0.86,0.7,-0.004,-0.036
2.0624e-02,1.32,1.44,0.84,1.04,-0.012,0.02
2.0643e-02,1.32,1.28,0.86,0.78,-0.012,-0.028
2.0663e-02,1.36,1.4,0.88,0.9,-0.004,0.012
2.0682e-02,1.36,1.16,0.84,0.68,-0.012,-0.036
2.0701e-02,1.36,1.44,0.86,1.04,-0.004,0.012
2.0720e-02,1.36,1.2,0.86,0.7,-0.012,-0.036
2.0739e-02,1.36,1.44,0.86,1.04,-0.004,0.02
2.0759e-02,1.36,1.2,0.86,0.7,-0.004,-0.036
2.0778e-02,1.36,1.44,0.84,1.06,-0.004,0.02
2.0797e-02,1.36,1.2,0.84,0.72,-0.012,-0.028
2.0816e-02,1.36,1.44,0.86,0.92,-0.004,0.02
2.0835e-02,1.4,1.24,0.8,0.78,-0.004,-0.036
2.0855e-02,1.36,1.44,0.86,1.06,-0.012,0.012
2.0874e-02,1.36,1.24,0.86,0.7,-0.004,-0.036
2.0893e-02,1.4,1.44,0.88,1.04,-0.012,0.02
2.0912e-02,1.36,1.2,0.88,0.72,0.004,-0.036
2.0931e-02,1.36,1.48,0.88,1.04,-0.012,0.02
2.0951e-02,1.4,1.24,0.84,0.72,0.004,-0.036
2.0970e-02,1.4,1.48,0.86,1.06,-0.02,0.02
2.0989e-02,1.4,1.32,0.84,0.78,-0.012,-0.036
2.1008e-02,1.4,1.44,0.86,0.92,-0.02,0.02
2.1027e-02,1.4,1.24,0.86,0.7,-0.02,-0.036
2.1047e-02,1.4,1.48,0.88,1.04,-0.02,0.012
2.1066e-02,1.4,1.24,0.88,0.72,-0.012,-0.036
2.1085e-02,1.4,1.48,0.88,1.04,-0.02,0.02
2.1104e-02,1.4,1.24,0.84,0.7,-0.004,-0.036
2.1123e-02,1.4,1.48,0.86,1.04,-0.004,0.02
2.1143e-02,1.4,1.24,0.84,0.7,-0.004,-0.036
2.1162e-02,1.4,1.48,0.86,1.04,-0.012,0.02
2.1181e-02,1.4,1.32,0.86,0.78,-0.012,-0.036
2.1200e-02,1.4,1.48,0.84,0.94,-0.004,0.012
2.1219e-02,1.44,1.24,0.86,0.72,-0.012,-0.036
2.1239e-02,1.4,1.52,0.86,1.04,-0.004,0.02
2.1258e-02,1.4,1.28,0.86,0.74,-0.012,-0.036
2.1277e-02,1.44,1.52,0.86,1.04,0.004,0.02
2.1296e-02,1.4,1.24,0.84,0.72,-0.012,-0.036
2.1315e-02,1.44,1.48,0.88,1.04,-0.02,0.02
2.1335e-02,1.4,1.36,0.84,0.78,-0.004,-0.036
2.1354e-02,1.4,1.48,0.86,0.92,-0.004,0.012
2.1373e-02,1.4,1.24,1.04,0.72,-0.02,-0.028
2.1392e-02,1.4,1.52,0.84,1.06,-0.004,0.02
2.1411e-02,1.44,1.28,0.86,0.72,-0.02,-0.036
2.1431e-02,1.48,1.52,0.88,1.06,-0.012,0.02
2.1450e-02,1.44,1.28,0.9,0.72,-0.004,-0.036
2.1469e-02,1.44,1.52,0.88,1.06,-0.012,0.028
2.1488e-02,1.44,1.28,0.88,0.74,-0.004,-0.036
2.1507e-02,1.44,1.52,0.84,1.06,-0.02,0.02
2.1527e-02,1.44,1.4,0.88,0.8,-0.012,-0.028
2.1546e-02,1.44,1.48,0.86,0.94,-0.012,0.02
2.1565e-02,1.44,1.28,0.86,0.72,-0.012,-0.036
2.1584e-02,1.44,1.52,0.86,1.06,0.004,0.028
2.1603e-02,1.48,1.32,0.88,0.74,-0.004,-0.036
2.1623e-02,1.44,1.52,0.86,1.06,-0.012,0.02
2.1642e-02,1.48,1.28,0.86,0.74,-0.012,-0.036
