Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.000768049,
Filter Frequency,2e+08,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.0000e+00,9.6,9.2
-1.9992e+00,9.6,10.2
-1.9985e+00,9.6,9.2
-1.9977e+00,9.6,10
-1.9969e+00,9.6,9.2
-1.9962e+00,9.6,10
-1.9954e+00,9.6,9
-1.9946e+00,9.6,10
-1.9939e+00,9.6,9
-1.9931e+00,9.4,10
-1.9923e+00,9.4,9
-1.9916e+00,9.4,10
-1.9908e+00,9.6,9.2
-1.9900e+00,9.8,10
-1.9892e+00,9.8,9.2
-1.9885e+00,9.6,10.2
-1.9877e+00,9.8,9.2
-1.9869e+00,9.6,10.2
-1.9862e+00,9.8,9.2
-1.9854e+00,9.8,10.2
-1.9846e+00,9.8,9.2
-1.9839e+00,9.8,10.2
-1.9831e+00,9.6,9.2
-1.9823e+00,9.8,10.2
-1.9816e+00,9.8,9.2
-1.9808e+00,9.6,10
-1.9800e+00,9.6,9.2
-1.9793e+00,9.6,10
-1.9785e+00,9.6,9
-1.9777e+00,9.6,10
-1.9770e+00,9.4,9
-1.9762e+00,9.4,10
-1.9754e+00,9.2,9
-1.9747e+00,9.6,10
-1.9739e+00,9.6,9.2
-1.9731e+00,9.6,10
-1.9724e+00,9.6,9.2
-1.9716e+00,9.6,10.2
-1.9708e+00,9.8,9.2
-1.9700e+00,9.8,10.2
-1.9693e+00,9.8,9.2
-1.9685e+00,9.6,10.2
-1.9677e+00,9.8,9.2
-1.9670e+00,9.6,10.2
-1.9662e+00,9.8,9.2
-1.9654e+00,9.8,10.2
-1.9647e+00,9.8,9.2
-1.9639e+00,9.8,10
-1.9631e+00,9.4,9.2
-1.9624e+00,9.6,10
-1.9616e+00,9.4,9
-1.9608e+00,9.4,10
-1.9601e+00,9.6,9
-1.9593e+00,9.2,10
-1.9585e+00,9.4,9
-1.9578e+00,9.6,10
-1.9570e+00,9.6,9.2
-1.9562e+00,9.6,10
-1.9555e+00,9.6,9.2
-1.9547e+00,9.8,10.2
-1.9539e+00,9.8,9.2
-1.9531e+00,9.8,10.2
-1.9524e+00,9.8,9.2
-1.9516e+00,9.6,10.2
-1.9508e+00,9.8,9.2
-1.9501e+00,9.8,10.2
-1.9493e+00,9.6,9.2
-1.9485e+00,9.8,10.2
-1.9478e+00,9.6,9.2
-1.9470e+00,9.6,10
-1.9462e+00,9.6,9
-1.9455e+00,9.6,10
-1.9447e+00,9.6,9
-1.9439e+00,9.4,10
-1.9432e+00,9.6,9
-1.9424e+00,9.6,10
-1.9416e+00,9.4,9
-1.9409e+00,9.6,10
-1.9401e+00,9.6,9.2
-1.9393e+00,9.6,10.2
-1.9386e+00,9.6,9.2
-1.9378e+00,9.6,10.2
-1.9370e+00,9.6,9.2
-1.9363e+00,9.8,10.2
-1.9355e+00,9.8,9.4
-1.9347e+00,9.6,10.2
-1.9339e+00,9.6,9.2
-1.9332e+00,9.8,10.2
-1.9324e+00,9.8,9.2
-1.9316e+00,9.8,10.2
-1.9309e+00,9.6,9.2
-1.9301e+00,9.6,10
-1.9293e+00,9.6,9.2
-1.9286e+00,9.6,10
-1.9278e+00,9.6,9
-1.9270e+00,9.4,10
-1.9263e+00,9.6,9
-1.9255e+00,9.4,10
-1.9247e+00,9.6,9
-1.9240e+00,9.6,10
-1.9232e+00,9.6,9.2
-1.9224e+00,9.8,10.2
-1.9217e+00,9.6,9.2
-1.9209e+00,9.6,10.2
-1.9201e+00,9.8,9.2
-1.9194e+00,9.6,10.2
-1.9186e+00,9.8,9.2
-1.9178e+00,9.8,10.2
-1.9171e+00,9.8,9.2
-1.9163e+00,9.8,10.2
-1.9155e+00,9.6,9.2
-1.9147e+00,9.6,10.2
-1.9140e+00,9.4,9.2
-1.9132e+00,9.8,10
-1.9124e+00,9.4,9
-1.9117e+00,9.4,10
-1.9109e+00,9.4,9
-1.9101e+00,9.6,10
-1.9094e+00,9.2,9
-1.9086e+00,9.6,10
-1.9078e+00,9.4,9
-1.9071e+00,9.8,10
-1.9063e+00,9.6,9.2
-1.9055e+00,9.6,10.2
-1.9048e+00,9.6,9.2
-1.9040e+00,9.8,10.2
-1.9032e+00,9.8,9.2
-1.9025e+00,9.8,10.2
-1.9017e+00,10,9.2
-1.9009e+00,9.8,10.2
-1.9002e+00,9.8,9.2
-1.8994e+00,9.8,10.2
-1.8986e+00,9.6,9.2
-1.8978e+00,9.8,10
-1.8971e+00,9.6,9.2
-1.8963e+00,9.4,10
-1.8955e+00,9.4,9
-1.8948e+00,9.6,10
-1.8940e+00,9.6,9
-1.8932e+00,9.6,10
-1.8925e+00,9.4,9
-1.8917e+00,9.4,10
-1.8909e+00,9.6,9.2
-1.8902e+00,9.6,10
-1.8894e+00,9.6,9.2
-1.8886e+00,9.8,10.2
-1.8879e+00,9.6,9.2
-1.8871e+00,9.8,10.2
-1.8863e+00,9.6,9.4
-1.8856e+00,9.8,10.2
-1.8848e+00,9.8,9.4
-1.8840e+00,9.8,10.2
-1.8833e+00,9.8,9.2
-1.8825e+00,9.6,10.2
-1.8817e+00,9.6,9.2
-1.8810e+00,9.6,10.2
-1.8802e+00,9.6,9
-1.8794e+00,9.6,10
-1.8786e+00,9.6,9
-1.8779e+00,9.6,10
-1.8771e+00,9.4,9
-1.8763e+00,9.4,10
-1.8756e+00,9.4,9
-1.8748e+00,9.6,10
-1.8740e+00,9.6,9.2
-1.8733e+00,9.6,10
-1.8725e+00,9.8,9.2
-1.8717e+00,9.8,10.2
-1.8710e+00,9.6,9.2
-1.8702e+00,9.6,10.2
-1.8694e+00,9.8,9.2
-1.8687e+00,9.8,10.2
-1.8679e+00,9.6,9.4
-1.8671e+00,9.8,10.2
-1.8664e+00,9.8,9.2
-1.8656e+00,9.8,10.2
-1.8648e+00,9.6,9.2
-1.8641e+00,9.6,10.2
-1.8633e+00,9.6,9.2
-1.8625e+00,9.6,10
-1.8618e+00,9.6,9
-1.8610e+00,9.4,10
-1.8602e+00,9.6,9
-1.8594e+00,9.4,10
-1.8587e+00,9.4,9
-1.8579e+00,9.8,10
-1.8571e+00,9.4,9.2
-1.8564e+00,9.6,10.2
-1.8556e+00,9.8,9.2
-1.8548e+00,9.6,10.2
-1.8541e+00,9.6,9.2
-1.8533e+00,9.8,10.2
-1.8525e+00,9.6,9.2
