Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.2,,,
Sample Interval,0.000384025,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.000e+00,0.09,-0.13,10,9.4
-9.996e-01,0.09,0.55,9.8,10.2
-9.992e-01,0.09,-0.13,9.6,9.4
-9.988e-01,0.07,0.57,9.8,10.2
-9.985e-01,0.09,-0.17,9.8,9.2
-9.981e-01,0.07,0.59,9.6,10
-9.977e-01,0.07,-0.29,9.8,9.2
-9.973e-01,0.07,0.59,9.6,10.2
-9.969e-01,-0.00999999,-0.29,9.6,9.2
-9.965e-01,0.09,0.55,9.6,10
-9.962e-01,0.07,-0.29,9.6,9.4
-9.958e-01,0.09,0.57,9.6,10.2
-9.954e-01,0.09,-0.29,9.8,9.4
-9.950e-01,0.09,0.43,10,10.2
-9.946e-01,0.11,-0.23,9.8,9.4
-9.942e-01,0.07,0.39,9.8,10.2
-9.939e-01,0.09,-0.21,9.8,9.4
-9.935e-01,0.11,0.35,10,10.2
-9.931e-01,0.09,-0.19,9.8,9.4
-9.927e-01,0.09,0.35,10,10.4
-9.923e-01,0.09,-0.27,9.8,9.4
-9.919e-01,0.11,0.45,10.2,10.4
-9.916e-01,0.09,-0.27,10,9.4
-9.912e-01,0.11,0.47,9.8,10.4
-9.908e-01,0.09,-0.25,10,9.6
-9.904e-01,0.09,0.45,10,10.4
-9.900e-01,0.13,-0.21,9.8,9.6
-9.896e-01,0.13,0.45,10,10.4
-9.892e-01,0.09,-0.15,10,9.6
-9.889e-01,0.09,0.47,10,10.4
-9.885e-01,0.09,-0.13,10,9.6
-9.881e-01,0.05,0.47,10,10.4
-9.877e-01,0.07,-0.11,9.8,9.4
-9.873e-01,0.11,0.43,10,10.4
