Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.04,,,
Sample Interval,6.4e-05,,,
Filter Frequency,2e+08,,,
Record Length,6250,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0000e-01,0.09,-0.17,10,9.6
-1.9994e-01,0.11,0.35,10,10.2
-1.9987e-01,0.11,-0.19,10,9.6
-1.9981e-01,0.09,0.35,10,10.4
-1.9974e-01,0.11,-0.19,9.8,9.6
-1.9968e-01,0.11,0.33,9.8,10.2
-1.9962e-01,0.11,-0.19,10,9.6
-1.9955e-01,0.11,0.35,10,10.2
-1.9949e-01,0.11,-0.25,10,9.6
-1.9942e-01,0.11,0.41,9.8,10.2
-1.9936e-01,0.09,-0.27,10,9.6
-1.9930e-01,0.07,0.47,10,10.4
-1.9923e-01,0.07,-0.25,10,9.6
-1.9917e-01,0.11,0.45,9.8,10.4
-1.9910e-01,0.09,-0.25,10,9.6
-1.9904e-01,0.09,0.45,10,10.2
-1.9898e-01,0.11,-0.25,10,9.4
-1.9891e-01,0.07,0.45,9.8,10.2
-1.9885e-01,0.09,-0.25,10,9.6
-1.9878e-01,0.11,0.45,9.8,10.2
-1.9872e-01,0.09,-0.25,10,9.6
-1.9866e-01,0.09,0.43,10,10.4
-1.9859e-01,0.11,-0.25,10,9.4
-1.9853e-01,0.09,0.43,10,10.2
-1.9846e-01,0.09,-0.25,10,9.6
-1.9840e-01,0.09,0.43,10,10.2
-1.9834e-01,0.11,-0.23,10,9.6
-1.9827e-01,0.09,0.43,9.8,10.4
-1.9821e-01,0.11,-0.23,9.8,9.6
-1.9814e-01,0.09,0.45,10,10.4
-1.9808e-01,0.07,-0.23,10,9.6
-1.9802e-01,0.11,0.43,10,10.4
-1.9795e-01,0.07,-0.23,10,9.6
-1.9789e-01,0.09,0.41,10,10.4
-1.9782e-01,0.07,-0.23,10,9.6
-1.9776e-01,0.07,0.41,9.8,10.2
-1.9770e-01,0.09,-0.23,10,9.6
-1.9763e-01,0.09,0.43,10,10.4
-1.9757e-01,0.09,-0.23,10,9.6
-1.9750e-01,0.07,0.43,10,10.4
-1.9744e-01,0.09,-0.21,9.8,9.6
-1.9738e-01,0.11,0.39,10,10.4
-1.9731e-01,0.09,-0.19,10,9.6
-1.9725e-01,0.09,0.37,10,10.4
-1.9718e-01,0.11,-0.21,10,9.6
-1.9712e-01,0.11,0.47,9.8,10.4
-1.9706e-01,0.19,-0.17,9.8,9.6
-1.9699e-01,0.13,0.43,10,10.4
-1.9693e-01,0.07,-0.15,10,9.6
-1.9686e-01,0.11,0.43,10,10.4
-1.9680e-01,0.07,-0.15,10,9.6
-1.9674e-01,0.09,0.43,9.8,10.4
-1.9667e-01,0.09,-0.15,10,9.6
-1.9661e-01,0.07,0.45,10,10.4
-1.9654e-01,0.09,-0.13,9.8,9.6
-1.9648e-01,0.11,0.41,10,10.2
-1.9642e-01,0.09,-0.13,10,9.6
-1.9635e-01,0.09,0.49,10,10.2
-1.9629e-01,0.07,-0.15,10,9.6
-1.9622e-01,0.13,0.45,10,10.4
-1.9616e-01,0.09,-0.13,10,9.4
-1.9610e-01,0.11,0.45,10,10.4
-1.9603e-01,0.09,-0.13,10,9.6
-1.9597e-01,0.07,0.45,10,10.2
-1.9590e-01,0.07,-0.13,10.2,9.6
-1.9584e-01,0.07,0.43,10,10.4
-1.9578e-01,0.09,-0.11,10,9.6
-1.9571e-01,0.07,0.43,10,10.4
-1.9565e-01,0.07,-0.13,9.8,9.6
-1.9558e-01,0.07,0.41,10,10.4
-1.9552e-01,0.09,-0.13,9.8,9.6
-1.9546e-01,0.11,0.43,9.8,10.4
-1.9539e-01,0.09,-0.11,9.8,9.4
-1.9533e-01,0.07,0.41,9.8,10.4
-1.9526e-01,0.07,-0.13,9.8,9.6
-1.9520e-01,0.09,0.41,10,10.2
-1.9514e-01,0.07,-0.11,9.8,9.6
-1.9507e-01,0.07,0.39,10,10.2
-1.9501e-01,0.07,-0.09,9.8,9.6
-1.9494e-01,0.07,0.39,10,10.4
-1.9488e-01,0.11,-0.11,10,9.6
-1.9482e-01,0.09,0.39,9.8,10.2
-1.9475e-01,0.09,-0.09,10,9.6
-1.9469e-01,0.05,0.33,10,10.2
-1.9462e-01,0.11,-0.09,10,9.6
-1.9456e-01,0.07,0.29,10,10.2
-1.9450e-01,0.07,-0.09,9.8,9.6
-1.9443e-01,0.07,0.31,10,10.4
-1.9437e-01,0.07,-0.07,9.8,9.4
-1.9430e-01,0.09,0.31,10,10.2
-1.9424e-01,0.07,-0.03,9.8,9.6
-1.9418e-01,0.09,0.23,9.8,10.2
-1.9411e-01,0.07,-0.03,10,9.6
-1.9405e-01,0.07,0.21,10,10.2
-1.9398e-01,0.07,-0.00999999,9.8,9.4
-1.9392e-01,0.09,0.19,10,10.2
-1.9386e-01,0.07,-0.00999999,9.8,9.4
-1.9379e-01,0.09,0.17,10,10.2
-1.9373e-01,0.09,-0.00999999,9.8,9.4
-1.9366e-01,0.11,0.17,9.8,10.2
-1.9360e-01,0.11,-0.00999999,9.8,9.6
-1.9354e-01,0.09,0.17,10,10.2
-1.9347e-01,0.09,-0.00999999,10,9.4
-1.9341e-01,0.07,0.15,9.8,10.2
-1.9334e-01,0.09,-0.00999999,10,9.4
-1.9328e-01,0.11,0.15,9.8,10.2
-1.9322e-01,0.09,-0.00999999,9.8,9.4
-1.9315e-01,0.09,0.17,9.8,10.2
-1.9309e-01,0.07,0.01,9.8,9.4
-1.9302e-01,0.07,0.15,9.8,10.2
-1.9296e-01,0.07,0.01,10,9.4
-1.9290e-01,0.09,0.15,10,10.2
-1.9283e-01,0.07,0.01,9.8,9.4
-1.9277e-01,0.09,0.15,9.8,10.4
-1.9270e-01,0.07,-0.00999999,9.8,9.4
-1.9264e-01,0.07,0.17,9.8,10.2
-1.9258e-01,0.09,-0.00999999,10,9.4
-1.9251e-01,0.09,0.17,9.8,10.2
-1.9245e-01,0.09,-0.00999999,9.8,9.4
-1.9238e-01,0.09,0.15,9.8,10.2
-1.9232e-01,0.09,-0.00999999,9.8,9.4
-1.9226e-01,0.07,0.15,10,10.2
-1.9219e-01,0.09,0.01,9.8,9.4
-1.9213e-01,0.09,0.17,9.8,10.2
-1.9206e-01,0.09,-0.00999999,9.8,9.4
-1.9200e-01,0.07,0.15,9.8,10.2
-1.9194e-01,0.07,-0.00999999,9.6,9.4
-1.9187e-01,0.09,0.15,10,10.2
-1.9181e-01,0.07,0.01,9.8,9.4
-1.9174e-01,0.09,0.13,9.8,10.2
-1.9168e-01,0.09,0.01,9.8,9.4
-1.9162e-01,0.07,0.13,9.8,10.2
-1.9155e-01,0.07,0.03,9.8,9.4
-1.9149e-01,0.07,0.13,9.8,10.2
-1.9142e-01,0.09,0.01,9.8,9.4
-1.9136e-01,0.09,0.13,9.8,10.2
-1.9130e-01,0.09,0.03,9.8,9.4
-1.9123e-01,0.07,0.13,9.8,10.2
-1.9117e-01,0.07,0.01,9.8,9.4
-1.9110e-01,0.07,0.13,9.6,10.2
-1.9104e-01,0.09,-0.11,9.6,9.4
-1.9098e-01,0.07,0.51,9.8,10.2
-1.9091e-01,0.09,-0.11,9.8,9.4
-1.9085e-01,-0.05,0.51,9.8,10.2
-1.9078e-01,0.07,-0.11,9.6,9.4
-1.9072e-01,0.09,0.53,9.6,10.2
-1.9066e-01,0.17,-0.13,9.8,9.4
-1.9059e-01,0.09,0.53,9.8,10.2
-1.9053e-01,0.09,-0.13,9.6,9.4
-1.9046e-01,0.15,0.55,9.8,10
-1.9040e-01,0.07,-0.11,9.8,9.4
-1.9034e-01,0.05,0.53,10,10
-1.9027e-01,0.03,-0.11,9.6,9.4
-1.9021e-01,0.07,0.53,9.8,10.2
-1.9014e-01,0.07,-0.13,9.6,9.2
-1.9008e-01,0.05,0.55,9.8,10.2
-1.9002e-01,0.09,-0.13,9.8,9.4
-1.8995e-01,0.09,0.55,9.8,10.2
-1.8989e-01,0.11,-0.13,9.8,9.4
-1.8982e-01,0.07,0.57,9.8,10.2
-1.8976e-01,0.07,-0.15,9.6,9.4
-1.8970e-01,0.05,0.59,9.8,10
-1.8963e-01,0.07,-0.15,9.6,9.4
-1.8957e-01,0.09,0.55,9.6,10.2
-1.8950e-01,0.07,-0.15,9.8,9.4
-1.8944e-01,0.07,0.55,9.6,10
-1.8938e-01,0.07,-0.15,9.6,9.4
-1.8931e-01,0.11,0.59,9.8,10
-1.8925e-01,0.09,-0.15,9.4,9.4
-1.8918e-01,0.07,0.59,9.6,10.2
-1.8912e-01,0.07,-0.15,10,9.2
-1.8906e-01,0.09,0.57,9.6,10
-1.8899e-01,0.09,-0.15,9.8,9.4
-1.8893e-01,0.07,0.57,9.6,10
-1.8886e-01,0.07,-0.15,9.8,9.4
-1.8880e-01,0.07,0.59,9.6,10
-1.8874e-01,0.07,-0.15,9.8,9.4
-1.8867e-01,0.07,0.57,9.6,10
-1.8861e-01,0.09,-0.17,9.8,9.2
-1.8854e-01,0.09,0.57,9.8,10
-1.8848e-01,0.05,-0.15,9.6,9.2
-1.8842e-01,0.05,0.55,9.8,10
-1.8835e-01,0.05,-0.17,9.6,9.4
-1.8829e-01,0.07,0.57,9.6,10
-1.8822e-01,0.07,-0.19,9.8,9.4
-1.8816e-01,0.07,0.53,9.6,10
-1.8810e-01,0.07,-0.19,9.6,9.4
-1.8803e-01,0.09,0.51,9.8,10
-1.8797e-01,0.03,-0.23,9.6,9.2
-1.8790e-01,0.05,0.55,9.8,10
-1.8784e-01,-0.00999999,-0.27,9.8,9.2
-1.8778e-01,0.05,0.51,9.6,10
-1.8771e-01,0.07,-0.25,9.6,9.2
-1.8765e-01,0.07,0.53,9.6,10
-1.8758e-01,0.09,-0.25,9.6,9.2
-1.8752e-01,0.09,0.55,9.8,10
-1.8746e-01,0.07,-0.27,9.6,9.2
-1.8739e-01,0.11,0.55,9.8,10
-1.8733e-01,0.07,-0.29,9.6,9.2
-1.8726e-01,0.07,0.53,9.6,10
-1.8720e-01,0.09,-0.27,9.6,9.4
-1.8714e-01,0.09,0.55,9.6,10
-1.8707e-01,0.07,-0.29,9.8,9.4
-1.8701e-01,0.05,0.55,9.4,10
-1.8694e-01,0.11,-0.29,9.4,9.2
-1.8688e-01,0.07,0.55,9.8,10
-1.8682e-01,0.05,-0.29,9.8,9.4
-1.8675e-01,0.09,0.55,9.6,10
-1.8669e-01,0.05,-0.29,9.8,9.4
-1.8662e-01,0.11,0.55,10,10
-1.8656e-01,0.09,-0.27,9.6,9.4
-1.8650e-01,0.09,0.53,9.6,10
-1.8643e-01,0.09,-0.27,9.6,9.4
-1.8637e-01,0.07,0.43,9.6,10
-1.8630e-01,0.09,-0.27,9.6,9.4
-1.8624e-01,0.09,0.41,9.8,10
-1.8618e-01,0.09,-0.25,9.8,9.4
-1.8611e-01,0.09,0.41,9.8,10.2
-1.8605e-01,0.09,-0.25,9.8,9.4
-1.8598e-01,0.09,0.41,9.8,10
-1.8592e-01,0.09,-0.21,9.6,9.4
-1.8586e-01,0.11,0.33,9.6,10.2
-1.8579e-01,0.09,-0.21,9.8,9.4
-1.8573e-01,0.09,0.35,9.6,10.2
