Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.1,,,
Sample Interval,0.000192012,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e-01,0.07,-0.29,9.8,9.2
-4.998e-01,0.07,0.57,9.8,10
-4.996e-01,0.09,-0.29,9.8,9.2
-4.994e-01,0.09,0.55,9.8,10.2
-4.992e-01,0.07,-0.27,9.4,9.4
-4.990e-01,0.09,0.41,9.8,10.2
-4.988e-01,0.07,-0.23,9.8,9.4
-4.987e-01,0.09,0.37,10,10.2
-4.985e-01,0.09,-0.23,9.8,9.4
-4.983e-01,0.11,0.37,9.8,10.2
-4.981e-01,0.09,-0.23,9.8,9.4
-4.979e-01,0.09,0.37,9.8,10.2
-4.977e-01,0.09,-0.21,9.8,9.4
-4.975e-01,0.11,0.35,9.8,10.2
-4.973e-01,0.09,-0.19,10,9.4
-4.971e-01,0.11,0.35,9.8,10.2
-4.969e-01,0.11,-0.17,10,9.6
-4.967e-01,0.09,0.33,10.2,10.2
-4.965e-01,0.09,-0.19,10,9.4
-4.964e-01,0.11,0.33,9.8,10.2
-4.962e-01,0.11,-0.19,9.6,9.4
-4.960e-01,0.09,0.35,9.8,10.2
-4.958e-01,0.11,-0.25,9.8,9.6
-4.956e-01,0.09,0.45,9.6,10.2
-4.954e-01,0.11,-0.27,10,9.4
-4.952e-01,0.11,0.45,10,10.4
-4.950e-01,0.09,-0.25,10,9.6
-4.948e-01,0.09,0.45,9.8,10.4
-4.946e-01,0.11,-0.25,10,9.6
-4.944e-01,0.11,0.43,10,10.4
-4.942e-01,0.11,-0.23,10,9.6
-4.940e-01,0.07,0.43,9.8,10.4
-4.939e-01,0.11,-0.21,9.8,9.6
-4.937e-01,0.11,0.41,10,10.4
-4.935e-01,0.17,-0.15,10,9.6
-4.933e-01,0.11,0.47,10,10.4
-4.931e-01,0.09,-0.15,9.8,9.6
-4.929e-01,0.11,0.45,10,10.4
-4.927e-01,0.09,-0.13,10,9.6
-4.925e-01,0.07,0.49,10,10.4
-4.923e-01,0.07,-0.13,10,9.6
-4.921e-01,0.07,0.43,10,10.2
-4.919e-01,0.09,-0.11,10,9.6
-4.917e-01,0.09,0.41,10,10.2
-4.916e-01,0.07,-0.11,10,9.4
-4.914e-01,0.09,0.41,9.8,10.4
-4.912e-01,0.11,-0.11,10,9.6
-4.910e-01,0.09,0.37,10,10.2
-4.908e-01,0.09,-0.05,10,9.4
-4.906e-01,0.07,0.31,9.8,10.2
-4.904e-01,0.11,-0.03,10,9.4
-4.902e-01,0.09,0.19,9.8,10.2
-4.900e-01,0.07,-0.00999999,9.8,9.4
-4.898e-01,0.11,0.15,10,10.2
-4.896e-01,0.09,-0.03,9.8,9.4
-4.894e-01,0.11,0.15,9.8,10.2
-4.892e-01,0.07,-0.00999999,9.8,9.4
-4.891e-01,0.07,0.17,10,10.2
