Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,1.92012e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,10,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e-02,1.52,1.44,-0.4,-1.2
-4.998e-02,1.52,1.6,-0.8,0
-4.996e-02,1.52,1.44,-0.4,-0.8
-4.994e-02,1.52,1.6,-0.4,0
-4.992e-02,1.52,1.44,-0.4,-0.8
-4.990e-02,1.52,1.6,-0.4,0
-4.988e-02,1.52,1.44,-0.4,-0.8
-4.987e-02,1.52,1.6,-0.4,0
-4.985e-02,1.52,1.44,-0.8,-0.8
-4.983e-02,1.52,1.6,-0.8,0
-4.981e-02,1.52,1.44,-0.8,-0.8
-4.979e-02,1.52,1.68,-0.4,0
-4.977e-02,1.6,1.52,-0.4,-1.2
-4.975e-02,1.52,1.68,-0.4,0
-4.973e-02,1.6,1.52,-0.4,-0.8
-4.971e-02,1.6,1.68,-0.8,0
-4.969e-02,1.6,1.52,-0.4,-0.8
-4.967e-02,1.6,1.68,-0.4,0
-4.965e-02,1.6,1.52,-0.4,-1.2
-4.964e-02,1.6,1.68,-0.4,0
-4.962e-02,1.6,1.52,-0.4,-0.8
-4.960e-02,1.6,1.68,-0.4,0
-4.958e-02,1.6,1.52,-0.4,-0.8
-4.956e-02,1.68,1.68,-0.4,0
-4.954e-02,1.6,1.52,-0.4,-1.2
-4.952e-02,1.6,1.84,-0.4,0
-4.950e-02,1.68,1.52,-0.4,-0.8
-4.948e-02,1.68,1.76,-0.4,0
-4.946e-02,1.68,1.6,-0.8,-0.8
-4.944e-02,1.68,1.76,-0.4,0
-4.942e-02,1.68,1.6,-0.8,-0.8
-4.940e-02,1.68,1.76,-0.4,0
-4.939e-02,1.68,1.6,-0.4,-0.8
-4.937e-02,1.68,1.76,-0.4,0
-4.935e-02,1.68,1.6,-0.4,-0.8
-4.933e-02,1.68,1.76,-0.4,0
-4.931e-02,1.68,1.6,-0.4,-0.8
-4.929e-02,1.68,1.76,-0.4,0
-4.927e-02,1.68,1.6,-0.4,-0.8
-4.925e-02,1.68,1.76,-0.4,0
-4.923e-02,1.76,1.6,-0.4,-0.8
-4.921e-02,1.76,1.84,0,0
-4.919e-02,1.68,1.68,-0.4,-0.8
-4.917e-02,1.76,1.84,-0.8,0
-4.916e-02,1.76,1.68,-0.4,-0.8
-4.914e-02,1.76,1.84,-0.4,0
-4.912e-02,1.76,1.68,-0.4,-0.8
-4.910e-02,1.84,1.92,-0.4,0
-4.908e-02,1.92,1.76,-0.4,-0.8
-4.906e-02,1.92,2,-0.4,0
-4.904e-02,1.84,1.84,-0.8,-0.8
-4.902e-02,1.92,2,-0.4,0
-4.900e-02,1.92,1.84,-0.4,-0.8
-4.898e-02,1.92,2.08,-0.4,0.4
-4.896e-02,1.92,1.84,-0.4,-0.8
-4.894e-02,1.92,2,0.4,1.2
-4.892e-02,1.92,1.84,0.8,0.4
-4.891e-02,1.92,2,1.2,2
-4.889e-02,1.92,1.84,1.6,1.2
-4.887e-02,1.84,2,2,2.4
-4.885e-02,1.92,1.84,1.6,-0.8
-4.883e-02,1.92,2,0.8,2
-4.881e-02,1.92,1.84,-0.4,-0.8
-4.879e-02,1.92,2,-0.4,0
-4.877e-02,1.92,1.84,-0.4,-0.8
-4.875e-02,1.92,2.08,-0.4,0
-4.873e-02,2,1.92,-0.4,-0.8
-4.871e-02,1.92,2.08,-0.8,0
-4.869e-02,2,1.92,-0.8,-0.8
-4.868e-02,2,2.08,-0.4,0
-4.866e-02,2,1.92,-0.4,-0.8
-4.864e-02,2,2.08,-0.4,0
-4.862e-02,2,2,-0.4,-0.8
-4.860e-02,2,2.16,-0.4,0
-4.858e-02,2,2,-0.4,-0.8
-4.856e-02,2.16,2.16,-0.4,0
-4.854e-02,2.08,2,-0.4,-1.2
-4.852e-02,2.08,2.16,-0.4,0
-4.850e-02,2.08,2,-0.4,-0.8
-4.848e-02,2.08,2.16,-0.4,0
-4.846e-02,2.08,2,-0.4,-0.8
-4.844e-02,2.08,2.16,-0.8,0
-4.843e-02,2.08,2,-0.4,-0.8
-4.841e-02,2.08,2.24,-0.4,0
-4.839e-02,2.08,2,-0.4,-0.8
-4.837e-02,2.08,2.24,-0.4,0
-4.835e-02,2.08,2.08,-0.8,-0.8
-4.833e-02,2.16,2.24,-0.4,0
-4.831e-02,2.16,2.08,-0.4,-0.8
-4.829e-02,2.16,2.24,-0.4,0
-4.827e-02,2.16,2.08,-0.4,-0.8
-4.825e-02,2.16,2.24,-0.4,0
-4.823e-02,2.16,2.08,-0.4,-0.8
-4.821e-02,2.16,2.32,-0.8,0
-4.820e-02,2.16,2.08,-0.4,-0.8
-4.818e-02,2.24,2.32,-0.4,0
-4.816e-02,2.24,2.16,-0.4,-0.8
-4.814e-02,2.24,2.32,-0.4,0
-4.812e-02,2.24,2.16,-0.8,-0.8
-4.810e-02,2.24,2.32,-0.4,0
-4.808e-02,2.24,2.16,-0.4,-0.8
-4.806e-02,2.32,2.4,-0.4,0
-4.804e-02,2.24,2.16,-0.4,-0.8
-4.802e-02,2.24,2.32,-0.4,0
-4.800e-02,2.24,2.16,-0.4,-0.8
-4.798e-02,2.24,2.32,-0.4,0
-4.796e-02,2.24,2.16,-0.4,-0.8
-4.795e-02,2.32,2.4,-0.4,0
-4.793e-02,2.32,2.24,-0.4,-0.8
-4.791e-02,2.24,2.4,-0.4,0
-4.789e-02,2.32,2.16,-0.4,-0.8
-4.787e-02,2.32,2.4,-0.4,0
-4.785e-02,2.32,2.24,-0.4,-0.8
-4.783e-02,2.32,2.4,-0.4,0
-4.781e-02,2.32,2.24,-0.4,-0.8
-4.779e-02,2.32,2.4,-0.8,0
-4.777e-02,2.32,2.24,-0.4,-0.8
-4.775e-02,2.4,2.48,-0.4,0
-4.773e-02,2.4,2.32,-0.4,-0.8
-4.772e-02,2.4,2.48,-0.4,0
-4.770e-02,2.4,2.32,-0.4,-0.8
-4.768e-02,2.4,2.48,-0.4,0
-4.766e-02,2.4,2.4,-0.4,-0.8
-4.764e-02,2.48,2.56,-0.4,0
-4.762e-02,2.48,2.4,-0.4,-0.8
-4.760e-02,2.4,2.56,-0.4,0
-4.758e-02,2.48,2.4,-0.4,-0.8
-4.756e-02,2.48,2.56,-0.4,0
-4.754e-02,2.48,2.4,-0.4,-0.8
-4.752e-02,2.48,2.56,-0.4,0
-4.750e-02,2.48,2.4,-0.4,-0.8
-4.748e-02,2.48,2.64,-0.4,0.4
-4.747e-02,2.48,2.4,0,-0.8
-4.745e-02,2.48,2.56,0,0.4
-4.743e-02,2.48,2.4,-0.4,-0.8
-4.741e-02,2.48,2.56,-0.4,0.4
-4.739e-02,2.48,2.4,-0.4,-0.8
-4.737e-02,2.48,2.56,-0.4,0
-4.735e-02,2.48,2.4,-0.4,-0.8
-4.733e-02,2.48,2.64,-0.4,0
-4.731e-02,2.48,2.4,-0.4,-0.8
-4.729e-02,2.56,2.64,-0.4,0
-4.727e-02,2.48,2.48,-0.4,-0.8
-4.725e-02,2.56,2.64,-0.4,0
-4.724e-02,2.64,2.48,-0.4,-0.8
-4.722e-02,2.56,2.64,-0.8,0
-4.720e-02,2.56,2.48,-0.8,-0.8
-4.718e-02,2.56,2.64,-0.4,0
-4.716e-02,2.56,2.48,0,-0.8
-4.714e-02,2.56,2.64,-0.4,0
-4.712e-02,2.56,2.48,-0.4,-0.8
-4.710e-02,2.56,2.72,-0.4,0
-4.708e-02,2.64,2.48,-0.4,-0.8
-4.706e-02,2.56,2.64,-0.8,0
-4.704e-02,2.56,2.56,-0.4,-0.8
-4.702e-02,2.56,2.72,-0.4,0
-4.700e-02,2.64,2.48,-0.4,-0.8
-4.699e-02,2.56,2.72,-0.4,0
-4.697e-02,2.64,2.56,-0.4,-0.8
-4.695e-02,2.64,2.72,-0.4,0
-4.693e-02,2.64,2.56,-0.4,-0.8
-4.691e-02,2.64,2.72,-0.4,0
-4.689e-02,2.64,2.56,-0.4,-0.8
-4.687e-02,2.64,2.72,-0.4,0
-4.685e-02,2.64,2.56,-0.4,-0.8
-4.683e-02,2.64,2.8,-0.4,0
-4.681e-02,2.64,2.56,-0.4,-0.8
-4.679e-02,2.64,2.72,-0.4,0
-4.677e-02,2.64,2.56,-0.4,-0.8
-4.675e-02,2.64,2.8,-0.4,0
-4.674e-02,2.64,2.56,-0.4,-0.8
-4.672e-02,2.64,2.8,-0.4,0
-4.670e-02,2.64,2.56,-0.4,-0.8
-4.668e-02,2.64,2.72,-0.4,0
-4.666e-02,2.64,2.64,-0.4,-0.8
-4.664e-02,2.64,2.8,-0.4,0
-4.662e-02,2.64,2.64,-0.4,-0.8
-4.660e-02,2.64,2.8,-0.4,0
-4.658e-02,2.72,2.64,-0.8,-0.8
-4.656e-02,2.72,2.8,-0.4,0
-4.654e-02,2.64,2.64,-0.8,-0.8
-4.652e-02,2.64,2.8,-0.4,0
-4.651e-02,2.72,2.64,-0.4,-0.8
-4.649e-02,2.72,2.8,-0.4,0
-4.647e-02,2.64,2.64,-0.4,-0.8
-4.645e-02,2.72,2.8,-0.4,0
-4.643e-02,2.72,2.64,-0.4,-0.8
-4.641e-02,2.64,2.8,-0.4,0
-4.639e-02,2.72,2.64,-0.4,-0.8
-4.637e-02,2.72,2.8,-0.4,0
-4.635e-02,2.72,2.64,-0.4,-0.8
-4.633e-02,2.72,2.8,-0.4,0
-4.631e-02,2.72,2.64,-0.4,-0.8
-4.629e-02,2.72,2.8,-0.4,0
-4.627e-02,2.72,2.64,-0.4,-0.8
-4.626e-02,2.72,2.8,-0.4,0
-4.624e-02,2.72,2.64,-0.4,-0.8
-4.622e-02,2.72,2.8,-0.4,0
-4.620e-02,2.72,2.64,-0.4,-0.8
-4.618e-02,2.72,2.8,-0.4,0
-4.616e-02,2.72,2.64,-0.4,-0.8
-4.614e-02,2.72,2.8,-0.4,0
-4.612e-02,2.72,2.64,-0.4,-0.8
-4.610e-02,2.72,2.8,-0.4,0
-4.608e-02,2.72,2.64,-0.4,-0.8
-4.606e-02,2.72,2.8,-0.4,0
-4.604e-02,2.72,2.64,-0.4,-0.8
