"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIGIKEY_2";
"C1";"0.033uF 250VAC";"C-EUEDGE";"C2220-EDGE";"CAPACITOR, European symbol";"490-4238-1-ND";"";
"C2";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C3";"33uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"718-1672-1-ND";"";
"C4";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";
"C7";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"587-2786-1-ND";"";
"C8";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"1276-1001-1-ND";"";
"C9";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"1276-1001-1-ND";"";
"C10";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"587-2786-1-ND";"";
"C27";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1265-1-ND";"";
"C28";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1265-1-ND";"";
"C38";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1265-1-ND";"";
"C39";"1.5uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-13874-1-ND";"";
"D1";"ZENERBZT52";"ZENERBZT52";"BZT52";"";"BZT52C10T-7DICT-ND ";"BZT52C15T-7DICT-ND ";
"D2";"DIODE";"DIODE";"BAS521";"";"BAS521-7DICT-ND";"";
"J21";"AC_INTBFILM";"AC_INTBFILM";"AC3_TBFILM";"";"NP";"";
"L1";"10uH";"L-USL0805";"L0805";"INDUCTOR, American symbol";"490-4990-1-ND";"";
"L3";"";"L-USL0805";"L0805";"INDUCTOR, American symbol";"732-3452-1-ND";"";
"R1";"240 0.25W";"R-US_R0603";"R0603";"RESISTOR, American symbol";"RHM240DCT-ND";"";
"R2";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R7";"560k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";
"R8";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"MCT0603-1.00M-CFCT-ND";"";
"R9";"180k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";
"R14";"200";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P200LCT-ND";"";
"R15";"NP";"R-US_R0402";"R0402";"RESISTOR, American symbol";"NP";"";
"R16";"0";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P0.0JCT-ND";"";
"R17";"20k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P20.0KLCT-ND";"";
"R18";"2.49 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"541-2.49LLCT-ND";"";
"R20";"1M 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P10.0KLCT-ND";"";
"R21";"1M 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P10.0KLCT-ND";"";
"R35";"2k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P2.00KLCT-ND";"";
"R37";"90k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P90.9KLCT-ND";"";
"R38";"3.1k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P3.09KHCT-ND";"";
"R39";"100k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P100KLCT-ND";"";
"R40";"100k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P100KLCT-ND";"";
"RF";"1.5k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P1.50KLCT-ND";"";
"RI1";"220k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P220KLCT-ND";"";
"RI2";"220k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P220KLCT-ND";"";
"RS+";"TP_LONG";"TP_LONG";"TP_LONG";"";"NP";"";
"RS-";"TP_LONG";"TP_LONG";"TP_LONG";"";"NP";"";
"TP1";"TP_LONG";"TP_LONG";"TP_LONG";"";"5126K-ND";"";
"TP2";"TP_LONG";"TP_LONG";"TP_LONG";"";"5126K-ND";"";
"TP3";"TP_LONG";"TP_LONG";"TP_LONG";"";"5129K-ND";"";
"TP4";"TP_LONG";"TP_LONG";"TP_LONG";"";"5126K-ND";"";
"TP5";"TP_LONG";"TP_LONG";"TP_LONG";"";"";"";
"U1";"TPS62122";"TPS62122";"WDFN-6";"";"296-27695-1-ND";"";
"U2";"MCP6V3";"MCP6V3";"SC70-5";"";"MCP6V31UT-E/LTCT-ND";"";
"U6";"MAX9910";"MAX9910";"SC70-5";"";"MAX9910EXK+TCT-ND";"";
"U7";"OPA2369";"OPA2369";"SOT-23-8";"";"296-22671-1-ND";"";
"VS+";"TP_LONG";"TP_LONG";"TP_LONG";"";"NP";"";
