"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIGIKEY_2";"MOUSER";"RICHARDSON_RFPD";"TAG-CONNECT";
"A1";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-ANTENNA-FR05-S1-N-0-102";"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,";"";"";"";"FR05-S1-N-0102B";"";
"B1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"497-13637-1-ND";"";"511-BAL-NRF01D3";"";"";
"C1";"0.033uF 250VAC";"C-EUEDGE";"C2220-EDGE";"CAPACITOR, European symbol";"490-4238-1-ND";"";"";"";"";
"C2";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";
"C3";"33uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"718-1672-1-ND";"";"";"";"";
"C4";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";
"C5";"33uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"718-1672-1-ND";"";"";"";"";
"C6";"8pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"1276-1817-1-ND";"";"";"";"";
"C7";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";
"C8";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";
"C9";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";
"C10";"22uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";
"C11";"0.1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-4952-1-ND";"";"";"";"";
"C12";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-1303-1-ND";"";"";"";"";
"C13";"4.7uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-5947-1-ND";"";"";"";"";
"C14";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"445-1316-1-ND";"";"";"";"";
"C15";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"1276-1119-1-ND";"";"";"";"";
"C16";"470nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"445-5192-1-ND";"";"";"";"";
"C17";"1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"1276-1513-1-ND";"";"";"";"";
"C18";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";
"C19";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";
"C20";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-1303-1-ND";"";"";"";"";
"C21";"47nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-1264-1-ND";"";"";"";"";
"C22";"2.2nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-5419-1-ND";"";"";"";"";
"C23";"0.8pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6269-1-ND";"";"";"";"";
"C24";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";
"C25";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";
"C27";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1265-1-ND";"";"";"";"";
"C28";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1265-1-ND";"";"";"";"";
"C34";"8pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"1276-1817-1-ND";"";"";"";"";
"C38";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1265-1-ND";"";"";"";"";
"C39";"1.5uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-13874-1-ND";"";"";"";"";
"D1";"ZENERBZT52";"ZENERBZT52";"BZT52";"";"BZT52C10T-7DICT-ND ";"BZT52C15T-7DICT-ND ";"";"";"";
"D2";"DIODE";"DIODE";"BAS521";"";"BAS521-7DICT-ND";"";"";"";"";
"J1";"JTAG_14PIN_IDC";"JTAG_14PIN_IDC";"TC2050-IDC-430";"";"NP";"";"";"";"TC2050-IDC-430";
"J4";"TC2030-JLINK-NL";"TC2030-JLINK-NL";"TC2030-IDC-NL";"";"";"";"";"";"";
"J21";"AC_INTBFILM";"AC_INTBFILM";"AC3_TBFILM";"";"NP";"";"";"";"";
"L1";"10uH";"L-USL0805";"L0805";"INDUCTOR, American symbol";"490-4990-1-ND";"";"";"";"";
"L2";"15nH";"INDUCTOR0402";"0402_CAP";"";"587-1521-1-ND";"";"";"";"";
"L3";"";"L-USL0805";"L0805";"INDUCTOR, American symbol";"732-3452-1-ND";"";"";"";"";
"L4";"10uH";"INDUCTOR0603";"0603_CAP";"";"490-4025-1-ND";"";"";"";"";
