"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIGIKEY_2";"DIGIKEY_3";"DIGIKEY_4";"FRACTUS";"MOUSER";
"B1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"497-13637-1-ND";"";"";"";"";"511-BAL-NRF01D3";
"C1";"33uF";"CPOL-US0805_SM";"CPOL0805_SM";"POLARIZED CAPACITOR, American symbol";"478-8650-1-ND";"";"";"";"";"";
"C2";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"490-10777-1-ND";"";"";"";"";"";
"C3";"22uF";"C-EUC0603_SM";"C0603_SM";"CAPACITOR, European symbol";"445-9077-1-ND";"";"";"";"";"";
"C4";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1239-1-ND";"";"";"";"";"";
"C5";"NP";"C-EUC0603_TN";"C0603_TN";"CAPACITOR, European symbol";"NP";"";"";"";"";"";
"C6";"8pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4890-1-ND";"";"";"";"";"";
"C7";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-8023-1-ND";"";"";"";"";"";
"C8";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C9";"0.1uF";"C-EUC0402_SM";"C0402_SM";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C10";"22uF";"C-EUC0603_SM";"C0603_SM";"CAPACITOR, European symbol";"445-9077-1-ND";"";"";"";"";"";
"C11";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-5947-1-ND";"";"";"";"";"";
"C12";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-1303-1-ND";"";"";"";"";"";
"C13";"0.1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-4952-1-ND";"";"";"";"";"";
"C14";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C15";"10uF";"C-EUC0603_SM";"C0603_SM";"CAPACITOR, European symbol";"445-6853-1-ND";"";"";"";"";"";
"C16";"470nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4989-1-ND";"";"";"";"";"";
"C17";"1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"1276-1513-1-ND";"";"";"";"";"";
"C18";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";"";
"C19";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";"";
"C20";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-1303-1-ND";"";"";"";"";"";
"C21";"47nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-1264-1-ND";"";"";"";"";"";
"C22";"2.2nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-5419-1-ND";"";"";"";"";"";
"C23";"0.8pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6269-1-ND";"";"";"";"";"";
