#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	163.47	164.6	162.63	0.99	1.0	0.67
0.41	163.47	164.6	161.98	0.99	1.0	0.65
1.42	163.43	164.6	162.69	0.99	1.0	0.63
2.45	163.43	164.5	162.63	0.99	1.0	0.65
3.48	163.26	164.5	160.5	0.99	1.0	0.65
4.5	163.26	164.4	162.81	0.99	1.0	0.65
5.52	163.21	164.4	162.45	0.99	1.0	0.62
6.54	163.21	164.3	163.75	0.99	1.0	0.64
7.56	162.58	164.3	162.63	0.99	1.0	0.65
8.58	162.58	164.2	158.26	0.99	1.0	0.65
9.61	162.18	164.2	160.68	0.99	1.0	0.62
10.63	162.18	163.9	163.22	0.99	1.0	0.63
11.87	162.09	163.7	161.39	0.99	1.0	0.64
12.9	162.09	163.7	159.2	0.99	1.0	0.64
13.71	161.97	163.5	158.97	0.99	1.0	0.63
14.74	161.97	163.5	160.44	0.99	1.0	0.61
15.76	161.87	163.3	161.63	0.99	1.0	0.64
16.78	161.87	163.3	160.68	0.99	1.0	0.64
17.8	161.82	163.2	160.68	0.99	1.0	0.64
18.81	161.82	163.2	160.92	0.99	1.0	0.62
19.85	161.78	163.0	160.74	0.99	1.0	0.63
20.87	161.78	163.0	160.92	0.99	1.0	0.64
21.9	161.71	162.9	161.63	0.99	1.0	0.63
22.92	161.71	162.9	158.43	0.99	1.0	0.61
23.94	161.62	162.8	159.85	0.99	1.0	0.6
24.97	161.62	162.8	163.81	0.99	1.0	0.62
26.0	161.86	162.8	159.67	0.99	1.0	0.63
27.03	161.86	162.8	160.33	0.99	1.0	0.61
28.05	161.81	162.7	159.85	0.99	1.0	0.6
29.08	161.81	162.7	163.58	0.99	1.0	0.62
30.12	161.74	162.7	162.04	0.99	1.0	0.63
31.15	161.74	162.7	161.33	0.99	1.0	0.63
32.18	161.73	162.7	159.14	0.99	1.0	0.6
33.21	161.73	162.7	162.69	0.99	1.0	0.61
34.23	161.75	162.6	161.15	0.99	1.0	0.62
35.66	161.75	162.6	160.27	0.99	1.0	0.63
36.27	161.64	162.6	161.39	0.99	1.0	0.61
37.29	161.64	162.6	159.5	0.99	1.0	0.6
38.31	161.61	162.6	161.74	0.99	1.0	0.62
