#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	249.73	250.9	245.78	0.99	1.0	0.78
0.62	249.88	250.9	249.01	1.0	1.0	0.77
1.63	249.88	250.9	250.42	1.0	1.0	0.79
2.85	249.85	250.9	249.42	1.0	1.0	0.8
3.67	249.85	250.9	248.83	1.0	1.0	0.79
4.7	249.75	250.9	247.6	0.99	1.0	0.77
5.95	249.75	250.9	250.6	0.99	1.0	0.78
6.77	249.74	250.9	253.3	0.99	1.0	0.8
7.79	249.74	250.9	248.01	0.99	1.0	0.8
8.8	249.71	250.8	247.78	0.99	1.0	0.78
10.04	249.71	250.8	248.42	0.99	1.0	0.77
10.86	249.69	250.8	251.18	0.99	1.0	0.79
11.88	249.69	250.8	248.6	0.99	1.0	0.8
13.1	249.6	250.8	249.01	1.0	1.0	0.79
13.9	249.6	250.8	247.31	1.0	1.0	0.77
14.93	249.71	250.8	248.83	0.99	1.0	0.77
16.16	249.71	250.8	249.48	0.99	1.0	0.79
16.97	249.66	250.8	249.13	0.99	1.0	0.8
18.2	249.66	250.8	247.54	0.99	1.0	0.78
19.42	249.76	250.8	248.42	0.99	1.0	0.77
20.03	249.76	250.8	249.36	0.99	1.0	0.79
21.05	249.76	250.8	251.65	0.99	1.0	0.8
22.07	249.69	250.8	248.13	0.99	1.0	0.79
23.3	249.79	250.8	249.54	0.99	1.0	0.78
24.12	249.79	250.8	250.83	0.99	1.0	0.77
25.35	249.74	250.8	250.83	0.99	1.0	0.79
26.17	249.74	250.8	246.78	0.99	1.0	0.8
27.18	249.74	250.8	248.19	0.99	1.0	0.78
28.61	249.81	250.8	248.01	1.0	1.0	0.76
29.43	249.65	250.8	250.89	0.99	1.0	0.77
30.26	249.65	250.8	249.13	0.99	1.0	0.8
31.48	249.74	250.8	249.66	0.99	1.0	0.8
32.3	249.74	250.8	248.6	0.99	1.0	0.78
33.53	249.78	250.8	247.89	1.0	1.0	0.77
34.35	249.78	250.8	249.36	1.0	1.0	0.79
35.37	249.78	250.8	248.72	1.0	1.0	0.8
36.39	249.77	250.8	248.01	0.99	1.0	0.79
37.61	249.84	250.8	250.65	1.0	1.0	0.78
38.43	249.84	250.8	249.71	1.0	1.0	0.77
39.47	249.84	250.8	249.42	1.0	1.0	0.79
40.7	249.98	250.8	249.19	1.0	1.0	0.8
41.52	249.98	250.8	246.37	1.0	1.0	0.79
43.15	249.7	250.8	247.89	0.99	1.0	0.76
43.76	249.61	250.8	249.19	0.99	1.0	0.77
45.21	249.61	250.8	249.19	0.99	1.0	0.8
46.04	249.61	250.8	246.95	1.0	1.0	0.8
46.46	249.61	250.8	249.54	1.0	1.0	0.79
47.49	249.61	250.8	248.48	1.0	1.0	0.77
48.52	249.68	250.8	248.66	0.99	1.0	0.78
49.56	249.68	250.8	249.89	0.99	1.0	0.8
50.58	249.72	250.8	247.95	0.99	1.0	0.79
51.8	249.72	250.8	249.3	0.99	1.0	0.78
52.61	249.87	250.9	248.31	1.0	1.0	0.77
53.84	249.87	250.9	250.65	1.0	1.0	0.79
54.66	249.8	250.8	248.48	1.0	1.0	0.8
55.68	249.8	250.8	248.31	1.0	1.0	0.79
56.7	249.94	250.9	245.19	1.0	1.0	0.76
57.73	249.94	250.9	251.18	1.0	1.0	0.78
59.17	249.8	250.9	251.24	1.0	1.0	0.8
59.79	249.8	250.9	247.31	1.0	1.0	0.79
60.82	249.8	250.8	250.13	1.0	1.0	0.79
61.84	249.8	250.8	246.84	1.0	1.0	0.77
62.87	249.82	250.9	250.71	1.0	1.0	0.79
63.89	249.82	250.8	248.01	1.0	1.0	0.8
64.91	249.82	250.8	247.31	0.99	1.0	0.79
65.94	249.82	250.8	246.13	0.99	1.0	0.77
66.98	249.8	250.8	249.48	0.99	1.0	0.78
68.21	249.8	250.8	250.6	0.99	1.0	0.8
69.03	249.76	250.8	247.95	0.99	1.0	0.8
70.27	249.76	250.7	246.78	0.99	1.0	0.78
71.08	248.86	250.7	247.72	0.99	1.0	0.77
72.11	248.86	250.6	248.89	0.99	1.0	0.78
73.13	249.61	250.6	249.07	0.99	1.0	0.8
74.15	249.61	250.6	248.83	0.99	1.0	0.79
75.18	249.71	250.6	246.43	0.99	1.0	0.78
76.63	249.6	250.6	250.3	0.99	1.0	0.78
77.45	249.6	250.6	249.07	0.99	1.0	0.79
78.27	249.6	250.6	247.31	0.99	1.0	0.8
79.1	249.5	250.6	248.01	0.99	1.0	0.79
80.13	249.5	250.6	247.89	0.99	1.0	0.77
81.56	249.63	250.6	250.95	0.99	1.0	0.78
82.18	249.63	250.5	248.54	0.99	1.0	0.8
83.19	249.43	250.5	248.31	0.99	1.0	0.8
84.22	249.43	250.5	247.6	0.99	1.0	0.78
85.25	249.6	250.5	248.42	0.99	1.0	0.77
86.48	249.6	250.6	248.48	0.99	1.0	0.79
87.3	249.74	250.6	249.83	0.99	1.0	0.8
88.32	249.74	250.6	250.24	0.99	1.0	0.79
89.96	249.8	250.7	249.07	1.0	1.0	0.77
90.36	249.8	250.7	249.42	1.0	1.0	0.78
91.8	249.9	250.7	250.24	0.99	1.0	0.8
93.02	250.39	250.7	247.72	0.99	1.0	0.8
93.42	250.39	250.7	247.6	0.99	1.0	0.78
94.45	250.39	250.7	246.72	0.99	1.0	0.77
95.46	250.07	250.7	250.01	1.0	1.0	0.79
96.5	250.07	250.8	248.01	1.0	1.0	0.8
97.94	250.17	250.8	247.84	0.99	1.0	0.79
98.76	250.17	250.8	246.54	0.99	1.0	0.76
99.78	249.88	250.8	249.24	1.0	1.0	0.77
100.6	249.88	250.8	252.48	1.0	1.0	0.8
101.63	249.72	250.8	248.83	1.0	1.0	0.8
102.65	249.72	250.9	248.66	1.0	1.0	0.79
103.68	249.98	250.9	250.01	0.99	1.0	0.77
105.1	249.98	250.9	252.65	0.99	1.0	0.79
105.71	249.83	250.9	247.31	0.99	1.0	0.79
106.94	249.83	250.9	246.25	0.99	1.0	0.79
107.76	249.9	250.9	247.89	0.99	1.0	0.77
108.79	249.9	250.9	251.01	0.99	1.0	0.77
109.82	250.04	250.9	251.59	0.99	1.0	0.8
110.84	250.04	250.9	247.95	0.99	1.0	0.8
111.85	249.82	250.9	247.54	1.0	1.0	0.78
112.88	249.82	250.9	247.66	1.0	1.0	0.77
113.9	249.95	250.9	248.6	0.99	1.0	0.79
114.92	249.95	250.9	248.48	0.99	1.0	0.8
115.93	249.86	250.9	248.72	1.0	1.0	0.8
116.96	249.86	250.9	248.48	1.0	1.0	0.77
118.39	249.87	250.9	247.66	1.0	1.0	0.77
119.0	249.87	250.9	249.66	1.0	1.0	0.8
120.03	249.89	250.9	247.95	1.0	1.0	0.8
121.47	249.89	250.9	247.37	1.0	1.0	0.79
122.09	249.87	250.9	249.54	1.0	1.0	0.77
123.11	249.87	250.9	251.01	1.0	1.0	0.78
124.33	249.81	250.9	248.89	1.0	1.0	0.8
125.15	249.81	250.9	248.95	1.0	1.0	0.8
126.57	249.96	250.9	249.95	1.0	1.0	0.78
127.59	249.96	250.9	248.13	1.0	1.0	0.77
128.41	249.98	250.9	250.6	0.99	1.0	0.79
129.44	249.98	250.9	248.66	0.99	1.0	0.8
130.66	249.99	250.9	249.13	1.0	1.0	0.79
131.47	249.99	250.9	246.19	1.0	1.0	0.76
133.11	249.61	250.9	250.48	0.99	1.0	0.78
133.31	249.61	250.9	249.54	0.99	1.0	0.8
