#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	45.85	44.7	37.64	0.61	0.62	0.2
0.2	45.85	44.7	35.72	0.61	0.62	0.19
1.22	45.85	44.7	32.07	0.61	0.62	0.18
2.66	46.06	45.0	38.38	0.61	0.62	0.19
3.48	46.36	45.3	35.54	0.61	0.62	0.16
4.3	46.36	45.3	39.3	0.61	0.62	0.2
5.33	46.36	45.3	49.07	0.61	0.62	0.2
6.36	46.56	45.6	34.55	0.61	0.62	0.17
7.8	47.06	45.9	38.38	0.61	0.62	0.19
8.41	47.06	45.9	42.57	0.61	0.62	0.21
9.45	47.16	45.9	43.55	0.61	0.62	0.22
10.47	47.16	46.3	35.97	0.61	0.62	0.2
11.49	47.16	46.6	37.45	0.61	0.62	0.19
12.51	47.5	46.6	45.95	0.61	0.62	0.26
13.53	47.5	46.9	39.43	0.61	0.62	0.2
14.55	48.1	46.9	42.44	0.61	0.62	0.19
15.58	48.1	47.3	35.85	0.61	0.62	0.17
16.6	48.59	47.3	35.97	0.61	0.62	0.18
17.62	48.59	47.7	36.16	0.61	0.62	0.19
18.64	49.29	47.7	38.69	0.61	0.62	0.19
19.68	49.29	48.0	36.46	0.61	0.62	0.18
20.7	49.35	48.0	35.41	0.61	0.62	0.17
21.72	49.35	48.4	34.24	0.61	0.62	0.15
22.74	49.62	48.4	41.34	0.61	0.62	0.2
24.18	49.99	48.7	42.88	0.61	0.62	0.2
25.2	49.99	48.7	42.38	0.61	0.62	0.2
26.01	50.25	49.1	50.12	0.61	0.62	0.27
26.84	50.25	49.1	41.64	0.61	0.62	0.21
27.66	50.25	49.4	38.07	0.61	0.62	0.19
28.68	50.54	49.4	37.33	0.61	0.62	0.18
29.7	50.54	49.8	37.45	0.61	0.62	0.18
30.93	50.9	49.8	33.0	0.61	0.62	0.14
31.76	50.9	50.1	40.04	0.61	0.62	0.19
32.79	51.45	50.1	36.9	0.61	0.62	0.19
33.8	51.45	50.5	40.23	0.61	0.62	0.19
34.83	51.87	50.5	44.1	0.61	0.62	0.21
