#Time	Diff	Act P	PB P	Act PF	PB PF
0.0	0.69	143.2	176.61	0.55	0.59
0.41	-0.9	136.9	174.64	0.54	0.61
1.44	0.13	136.9	176.96	0.54	0.58
3.68	0.37	136.0	157.24	0.54	0.6
4.51	-0.8	121.4	160.08	0.52	0.54
5.53	0.22	121.4	155.61	0.52	0.58
6.56	-0.76	121.0	152.31	0.52	0.56
7.59	0.27	121.0	159.27	0.52	0.55
8.61	-0.7	120.4	148.13	0.52	0.58
9.64	0.33	120.4	155.73	0.52	0.55
10.67	-0.65	119.8	152.08	0.52	0.58
11.69	0.37	119.8	148.65	0.52	0.54
12.92	-0.4	119.0	152.83	0.52	0.56
13.75	0.43	119.0	149.99	0.52	0.58
14.77	-0.56	118.2	150.74	0.52	0.57
15.79	0.46	118.2	155.03	0.52	0.63
17.64	0.31	117.6	145.99	0.52	0.53
17.85	0.52	117.6	150.8	0.52	0.58
19.08	-0.25	116.7	148.71	0.52	0.56
20.09	0.76	116.7	148.19	0.52	0.56
20.92	-0.4	116.1	151.38	0.51	0.63
21.94	0.62	116.1	142.62	0.51	0.51
22.96	-0.37	115.5	150.39	0.52	0.6
23.98	0.65	115.5	151.03	0.52	0.54
25.41	0.06	114.9	144.77	0.52	0.56
26.03	0.68	114.9	144.19	0.52	0.54
27.06	-0.27	114.1	145.23	0.51	0.54
28.1	0.77	114.1	147.44	0.51	0.55
