#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	376.17	376.0	151.0	0.99	0.99	0.0
0.2	376.17	376.0	152.0	0.99	0.99	0.0
1.24	376.23	376.2	158.0	1.0	1.0	0.0
2.66	376.34	376.3	155.0	1.0	0.99	0.0
3.27	376.34	376.3	151.0	1.0	0.99	0.0
4.5	376.34	376.4	152.0	1.0	0.99	0.0
5.33	376.42	376.4	157.0	1.0	0.99	0.0
6.36	376.42	376.5	152.0	1.0	1.0	0.0
7.38	376.12	376.5	161.0	0.99	1.0	0.0
8.4	376.12	376.5	153.0	0.99	1.0	0.0
9.64	376.22	376.5	156.0	0.99	1.0	0.0
10.47	376.22	376.5	146.0	0.99	1.0	0.0
11.7	376.14	376.5	152.0	0.99	1.0	0.0
12.51	376.14	376.6	154.0	0.99	1.0	0.0
13.74	376.37	376.6	147.0	1.0	1.0	0.0
14.76	376.37	376.6	148.0	1.0	1.0	0.0
15.78	376.33	376.6	146.0	0.99	1.0	0.0
16.6	376.33	376.7	158.0	0.99	1.0	0.0
17.62	376.46	376.7	149.0	0.99	1.0	0.0
18.86	376.46	376.8	148.0	0.99	1.0	0.0
19.68	376.43	376.8	149.0	0.99	1.0	0.0
20.7	376.43	376.8	153.0	0.99	1.0	0.0
21.72	376.44	376.8	146.0	0.99	1.0	0.0
22.74	376.44	376.8	155.0	0.99	1.0	0.0
24.18	376.45	376.8	152.0	0.99	1.0	0.0
24.8	376.45	376.8	159.0	0.99	1.0	0.0
25.82	376.38	376.8	159.0	0.99	1.0	0.0
26.85	376.38	376.8	159.0	0.99	1.0	0.0
27.88	376.43	376.8	153.0	0.99	1.0	0.0
28.9	376.43	376.8	147.0	0.99	1.0	0.0
29.92	376.33	376.8	158.0	1.0	1.0	0.0
30.94	376.33	376.8	146.0	1.0	1.0	0.0
31.97	376.24	376.8	147.0	1.0	1.0	0.0
