#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	45.26	44.7	37.95	0.62	0.63	0.18
0.82	45.53	44.7	39.12	0.62	0.63	0.19
1.63	45.53	44.9	48.83	0.62	0.63	0.19
2.65	45.42	44.9	36.53	0.61	0.63	0.17
3.67	45.42	45.1	38.01	0.61	0.63	0.18
4.9	45.42	45.1	38.44	0.61	0.63	0.18
5.72	45.42	45.3	41.15	0.61	0.63	0.19
6.75	46.35	45.3	52.38	0.62	0.63	0.2
7.77	46.35	45.6	38.56	0.62	0.62	0.18
9.01	46.4	45.6	36.71	0.62	0.62	0.17
9.84	46.4	45.9	38.93	0.62	0.62	0.18
10.86	46.87	45.9	39.12	0.62	0.62	0.18
11.89	46.87	46.2	48.65	0.62	0.63	0.19
13.12	47.52	46.2	38.01	0.62	0.63	0.17
13.94	47.52	46.5	35.97	0.62	0.62	0.17
14.95	48.31	46.5	40.78	0.62	0.62	0.18
15.97	48.31	46.8	41.15	0.62	0.62	0.19
16.99	48.91	46.8	33.12	0.62	0.62	0.18
18.22	48.91	47.2	40.29	0.62	0.63	0.18
19.04	49.22	47.2	38.32	0.62	0.63	0.18
20.06	49.22	47.5	41.46	0.62	0.63	0.19
21.08	49.46	47.5	40.41	0.62	0.63	0.19
22.1	49.46	47.9	30.21	0.62	0.63	0.16
23.12	49.87	47.9	44.9	0.62	0.63	0.2
24.14	49.87	48.3	49.87	0.62	0.63	0.26
25.18	50.06	48.3	39.0	0.61	0.63	0.19
26.21	50.06	48.7	38.93	0.61	0.62	0.18
27.43	50.48	49.1	43.06	0.61	0.62	0.21
