#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	51.99	56.7	71.66	0.3	0.32	0.28
0.4	51.99	56.5	71.29	0.3	0.32	0.28
1.21	51.99	56.5	73.65	0.3	0.32	0.29
2.43	52.35	56.3	70.63	0.3	0.32	0.29
3.25	52.35	56.3	70.99	0.3	0.32	0.28
4.27	51.38	56.0	71.96	0.3	0.32	0.28
5.29	51.38	56.0	72.14	0.3	0.32	0.29
6.31	50.83	55.7	86.8	0.3	0.32	0.29
7.55	50.83	55.7	68.99	0.3	0.32	0.29
8.57	50.99	55.5	69.9	0.3	0.32	0.28
9.8	50.99	55.5	70.14	0.3	0.32	0.28
10.41	50.28	55.2	71.6	0.3	0.32	0.28
11.43	50.28	55.2	74.68	0.3	0.32	0.29
12.45	50.79	54.9	70.14	0.3	0.32	0.29
13.47	50.79	54.9	71.11	0.3	0.32	0.29
14.9	51.15	54.9	70.99	0.3	0.31	0.29
15.93	51.15	54.9	69.48	0.3	0.31	0.31
16.55	51.15	54.8	64.32	0.3	0.31	0.28
17.57	50.98	54.8	69.42	0.3	0.31	0.28
18.59	50.98	54.6	69.48	0.3	0.32	0.28
19.63	50.52	54.6	68.93	0.3	0.32	0.27
21.05	51.03	54.4	85.59	0.3	0.31	0.27
21.66	51.03	54.4	69.11	0.3	0.31	0.28
22.89	50.42	54.4	67.84	0.3	0.32	0.27
23.71	50.42	54.4	70.44	0.3	0.32	0.29
24.94	50.5	54.3	69.48	0.3	0.32	0.28
