#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	235.34	237.4	237.55	0.99	0.99	0.75
0.83	235.34	237.4	237.79	0.99	0.99	0.78
1.86	235.59	237.3	239.85	0.99	0.99	0.78
2.88	235.59	237.3	239.26	0.99	0.99	0.78
4.12	235.54	237.2	238.38	0.99	0.99	0.76
4.94	235.54	237.2	239.26	0.99	0.99	0.76
6.17	235.64	237.1	241.37	0.99	0.99	0.78
7.4	235.46	237.1	238.14	0.99	0.99	0.78
8.01	235.46	236.9	237.55	0.99	0.99	0.75
9.05	235.46	236.9	238.26	0.99	0.99	0.75
10.48	235.04	236.8	239.67	0.99	0.99	0.79
10.9	235.04	236.8	237.96	0.99	0.99	0.77
11.93	235.18	236.7	237.73	0.99	0.99	0.79
13.16	235.18	236.7	237.44	0.99	0.99	0.75
14.6	234.89	236.5	237.38	0.99	0.99	0.75
15.0	234.89	236.5	235.85	0.99	0.99	0.78
17.04	234.36	236.3	237.08	0.99	0.99	0.76
18.27	234.24	236.1	236.61	0.99	0.99	0.76
