#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	-0.6	112.3	104.12	1.0	1.0	0.44
1.01	-0.6	111.6	105.86	1.0	1.0	0.45
2.04	-0.6	111.6	108.55	1.0	1.0	0.46
3.05	-0.6	110.9	105.92	1.0	1.0	0.46
4.08	-0.6	110.9	106.57	1.0	1.0	0.45
5.11	-0.6	110.4	104.84	1.0	1.0	0.44
6.14	-0.6	110.4	104.24	1.0	1.0	0.45
7.16	-0.6	109.9	105.08	1.0	1.0	0.46
8.19	-0.6	109.9	101.97	1.0	1.0	0.43
9.21	-0.6	109.3	101.01	1.0	1.0	0.42
10.24	-0.6	109.3	104.66	1.0	1.0	0.45
11.26	-0.6	108.9	100.29	1.0	1.0	0.45
12.28	-0.6	108.9	103.23	1.0	1.0	0.44
13.3	-0.6	108.5	104.3	1.0	1.0	0.45
14.33	-0.6	108.5	105.56	1.0	1.0	0.44
15.55	-0.6	108.0	103.35	1.0	1.0	0.46
16.38	-0.6	108.0	105.68	1.0	1.0	0.45
17.4	-0.6	107.7	101.01	1.0	1.0	0.42
18.42	-0.6	107.3	101.97	1.0	1.0	0.44
19.44	-0.6	107.3	105.14	1.0	1.0	0.44
20.68	-0.6	107.0	101.37	1.0	1.0	0.45
21.5	-0.6	107.0	102.03	1.0	1.0	0.44
22.52	-0.6	106.5	102.39	1.0	1.0	0.44
23.74	-0.6	106.5	105.14	1.0	1.0	0.45
24.56	-0.6	106.1	100.41	1.0	1.0	0.43
25.59	-0.6	106.1	100.0	1.0	1.0	0.42
26.62	-0.6	105.6	100.71	1.0	1.0	0.42
27.85	-0.6	105.6	103.17	1.0	1.0	0.44
29.08	-0.6	105.2	95.5	1.0	1.0	0.43
29.9	-0.6	105.2	98.26	1.0	1.0	0.42
30.73	-0.6	104.6	98.2	1.0	1.0	0.41
