#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	52.39	52.1	47.6	0.51	0.52	0.27
0.2	52.39	52.1	45.95	0.51	0.52	0.28
1.43	52.39	52.1	43.8	0.51	0.52	0.24
2.25	51.97	51.9	48.77	0.51	0.52	0.29
3.27	51.97	51.9	52.56	0.51	0.52	0.28
4.29	53.98	51.9	47.11	0.5	0.51	0.24
5.51	53.98	51.9	47.97	0.5	0.51	0.26
6.33	51.7	52.2	47.36	0.5	0.5	0.27
7.35	51.7	52.2	50.79	0.5	0.5	0.27
8.37	54.22	52.3	45.39	0.51	0.51	0.24
9.39	54.22	52.3	48.34	0.51	0.51	0.25
10.42	52.43	52.4	46.44	0.51	0.52	0.24
11.44	52.43	52.4	47.17	0.51	0.52	0.25
12.45	51.52	52.3	47.73	0.51	0.52	0.24
13.47	51.52	52.3	45.7	0.51	0.52	0.24
14.5	52.09	52.0	45.64	0.51	0.52	0.24
15.53	52.09	52.0	47.97	0.51	0.52	0.25
16.55	51.53	51.9	45.33	0.51	0.52	0.24
17.57	51.53	51.9	47.36	0.51	0.52	0.24
18.6	52.59	52.0	48.95	0.51	0.51	0.27
19.64	52.59	52.0	48.89	0.51	0.51	0.25
20.66	52.2	52.1	47.91	0.51	0.51	0.23
21.69	52.2	52.1	49.32	0.51	0.51	0.25
22.71	55.16	52.0	54.7	0.51	0.51	0.27
23.73	55.16	52.0	48.71	0.51	0.51	0.25
24.76	52.12	52.8	48.71	0.49	0.48	0.24
25.78	52.12	52.7	49.93	0.49	0.5	0.25
26.8	53.57	52.7	51.4	0.51	0.5	0.26
28.03	53.57	52.7	52.68	0.51	0.51	0.26
28.86	53.57	52.7	46.38	0.51	0.51	0.22
29.89	53.36	52.9	47.54	0.51	0.51	0.24
30.9	53.36	52.9	49.2	0.51	0.51	0.25
31.93	52.34	52.6	47.73	0.51	0.52	0.23
32.96	52.34	52.6	46.99	0.51	0.52	0.23
33.97	52.17	52.4	48.65	0.51	0.52	0.24
35.22	52.11	52.4	48.03	0.51	0.52	0.26
