#Time	Diff	Act P	PB P	Act PF	PB PF
0.0	0.22	245.8	245.11	1.0	0.84
0.61	0.83	245.8	243.89	1.0	0.86
1.85	0.07	245.0	244.01	1.0	0.85
3.08	-0.7	244.4	246.21	1.0	0.87
3.7	-0.08	244.4	244.3	1.0	0.82
4.72	0.94	244.4	244.76	1.0	0.83
5.75	-0.03	243.9	242.44	1.0	0.86
6.77	0.99	243.9	243.66	1.0	0.84
7.79	0.01	243.3	243.37	1.0	0.86
8.82	-0.97	242.7	245.17	1.0	0.82
9.86	0.07	242.7	243.95	1.0	0.83
10.88	-0.91	242.2	240.0	1.0	0.86
11.91	0.12	242.2	241.05	1.0	0.85
13.35	-0.44	241.8	240.93	0.99	0.85
13.96	0.17	241.8	241.63	0.99	0.82
15.18	-0.61	241.6	244.06	0.99	0.83
16.0	0.21	241.6	244.64	0.99	0.86
17.24	-0.54	241.4	241.4	0.99	0.86
