#Time	Diff	Act P	PB P	Act PF	PB PF
0.0	-0.18	306.1	304.15	0.84	0.81
0.59	0.41	306.1	304.15	0.84	0.82
2.43	0.26	305.7	304.67	0.84	0.8
3.65	-0.53	305.7	309.6	0.83	0.82
4.88	0.7	305.7	310.71	0.83	0.82
5.49	-0.69	310.5	305.6	0.85	0.81
6.51	0.33	310.5	297.95	0.85	0.79
7.53	-0.64	303.6	303.75	0.84	0.81
8.56	0.39	303.6	309.02	0.84	0.83
9.59	-0.58	303.9	295.86	0.84	0.8
10.6	0.43	303.9	303.46	0.84	0.82
11.82	-0.36	303.7	296.96	0.84	0.81
12.64	0.46	303.7	305.6	0.84	0.8
13.86	-0.32	303.9	306.53	0.83	0.83
14.67	0.49	303.9	296.73	0.83	0.8
15.9	-0.28	303.6	304.79	0.84	0.82
16.93	0.75	303.6	299.92	0.84	0.79
17.94	-0.23	303.8	303.34	0.84	0.81
18.76	0.59	303.8	305.08	0.84	0.82
20.0	-0.18	303.5	301.72	0.84	0.8
20.82	0.64	303.5	304.91	0.84	0.81
22.26	0.08	303.4	300.61	0.83	0.79
22.88	0.7	303.4	302.93	0.83	0.81
23.89	-0.29	303.2	312.56	0.84	0.83
25.13	0.95	303.2	295.22	0.84	0.79
26.15	-0.03	296.3	312.68	0.83	0.82
