#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	-0.6	1728.3	1744.46	1.0	0.92	0.9
0.81	-0.6	1728.3	1747.92	1.0	0.92	0.92
1.84	-0.6	1729.0	1748.62	1.0	0.91	0.9
2.87	-0.6	1729.0	1748.8	1.0	0.91	0.91
3.89	-0.6	1729.8	1764.56	1.0	0.91	0.91
4.91	-0.6	1729.8	1736.73	1.0	0.91	0.87
5.74	-0.6	1730.5	1725.95	1.0	0.91	0.92
6.76	-0.6	1730.5	1762.1	1.0	0.91	0.93
7.78	-0.6	1730.0	1717.27	1.0	0.92	0.88
8.81	-0.6	1730.0	1757.12	1.0	0.92	0.91
9.83	-0.6	1729.7	1750.91	1.0	0.92	0.91
10.84	-0.6	1729.7	1763.74	1.0	0.92	0.91
11.87	-0.6	1729.8	1723.89	1.0	0.91	0.91
12.89	-0.6	1729.8	1765.97	1.0	0.91	0.92
14.33	-0.6	1730.3	1751.32	1.0	0.92	0.91
14.94	-0.6	1730.3	1723.72	1.0	0.92	0.93
15.97	-0.6	1730.6	1744.46	1.0	0.91	0.91
