#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	8.98	9.3	9.54	0.46	0.58	0.06
1.03	8.98	9.3	6.69	0.46	0.57	0.05
2.06	9.11	9.3	7.9	0.46	0.57	0.06
3.08	9.11	9.3	12.64	0.46	0.57	0.08
4.11	9.13	9.3	10.3	0.46	0.57	0.07
5.13	9.13	9.3	7.2	0.46	0.57	0.05
6.16	9.09	9.3	7.39	0.46	0.57	0.05
7.18	9.09	9.3	6.88	0.46	0.57	0.05
8.2	9.29	9.3	8.72	0.47	0.57	0.06
9.23	9.29	9.3	8.91	0.47	0.58	0.06
10.25	8.87	9.3	5.8	0.46	0.58	0.05
11.28	8.87	9.3	6.88	0.46	0.58	0.05
12.31	9.02	9.3	8.59	0.45	0.58	0.06
13.33	9.02	9.3	10.05	0.45	0.58	0.06
14.36	8.9	9.3	9.16	0.46	0.58	0.06
15.38	8.9	9.3	7.52	0.46	0.57	0.05
16.39	9.11	9.3	8.85	0.46	0.57	0.06
17.41	9.11	9.3	9.86	0.46	0.56	0.07
18.43	9.11	9.3	9.54	0.46	0.56	0.06
19.67	9.11	9.3	10.24	0.46	0.57	0.07
20.48	8.97	9.3	8.66	0.46	0.57	0.06
21.5	8.97	9.4	9.04	0.46	0.57	0.06
22.73	9.35	9.3	10.87	0.47	0.58	0.07
23.55	9.35	9.3	9.92	0.47	0.58	0.06
24.57	9.14	9.3	9.23	0.46	0.58	0.06
25.58	9.14	9.4	5.93	0.46	0.57	0.05
26.61	8.93	9.4	8.72	0.46	0.57	0.06
28.03	8.93	9.3	7.2	0.46	0.57	0.05
28.64	9.32	9.4	9.61	0.47	0.57	0.06
29.66	9.32	9.4	7.77	0.47	0.57	0.06
30.68	9.08	9.4	5.49	0.46	0.57	0.05
31.69	9.08	9.4	8.53	0.46	0.57	0.06
32.92	9.34	9.4	6.82	0.47	0.58	0.05
33.75	9.34	9.4	8.28	0.47	0.58	0.06
34.58	9.34	9.4	9.73	0.47	0.58	0.06
35.59	9.13	9.4	7.9	0.46	0.57	0.06
36.83	9.13	9.4	7.9	0.46	0.57	0.06
