#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	-0.6	831.2	808.09	1.0	1.0	0.97
1.02	-0.6	831.2	812.61	1.0	1.0	0.96
2.23	-0.6	830.9	808.5	1.0	1.0	0.95
3.06	-0.6	830.9	810.97	1.0	1.0	0.96
4.29	-0.6	830.3	804.75	1.0	1.0	0.96
5.11	-0.6	830.3	807.92	1.0	1.0	0.97
6.14	-0.6	829.6	808.74	1.0	1.0	0.95
7.15	-0.6	829.6	808.74	1.0	1.0	0.95
8.18	-0.6	828.8	804.87	1.0	1.0	0.97
9.22	-0.6	828.8	807.74	1.0	1.0	0.97
10.24	-0.6	827.9	805.46	1.0	1.0	0.96
11.26	-0.6	827.9	804.46	1.0	1.0	0.95
12.3	-0.6	827.0	808.5	1.0	1.0	0.97
13.33	-0.6	827.0	802.06	1.0	1.0	0.96
14.36	-0.6	826.1	805.52	1.0	1.0	0.96
15.37	-0.6	826.1	800.89	1.0	1.0	0.94
16.4	-0.6	825.2	805.52	1.0	1.0	0.95
17.42	-0.6	825.2	803.05	1.0	1.0	0.96
18.45	-0.6	824.3	800.53	1.0	1.0	0.96
19.67	-0.6	823.5	801.53	1.0	1.0	0.95
20.48	-0.6	823.5	800.53	1.0	1.0	0.95
