#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	126.93	126.6	120.83	0.6	0.6	0.39
1.02	127.44	126.8	120.59	0.6	0.6	0.42
2.06	127.44	126.8	133.37	0.6	0.6	0.52
3.08	127.91	127.1	122.79	0.6	0.6	0.44
4.09	127.91	127.1	125.29	0.6	0.6	0.44
5.13	128.15	127.3	119.04	0.61	0.6	0.51
6.15	128.15	127.3	122.91	0.61	0.6	0.42
7.19	127.74	127.6	133.79	0.61	0.6	0.52
8.03	127.74	127.6	121.72	0.61	0.6	0.46
9.05	127.74	127.8	127.67	0.61	0.6	0.45
10.27	128.23	127.8	114.15	0.61	0.6	0.53
11.09	128.23	128.0	122.91	0.61	0.6	0.42
12.13	128.07	128.0	125.17	0.6	0.6	0.44
13.15	128.07	128.3	120.47	0.6	0.6	0.49
14.17	128.84	128.3	127.55	0.61	0.6	0.45
15.2	128.84	128.4	125.23	0.61	0.6	0.43
16.23	128.82	128.4	124.93	0.6	0.6	0.43
17.27	128.82	128.6	125.17	0.6	0.6	0.44
18.3	129.34	128.6	121.78	0.61	0.6	0.37
19.32	129.34	128.8	127.13	0.61	0.6	0.45
20.76	129.23	128.8	136.7	0.61	0.6	0.4
21.36	129.23	129.1	123.57	0.61	0.6	0.42
22.39	129.13	129.1	125.59	0.61	0.6	0.44
23.63	129.34	129.3	118.51	0.61	0.6	0.31
24.45	129.34	129.3	125.65	0.61	0.6	0.44
25.48	129.34	129.5	128.38	0.61	0.6	0.44
26.5	129.66	129.5	123.68	0.61	0.6	0.4
27.72	130.13	129.6	124.99	0.61	0.6	0.43
28.53	130.13	129.6	119.82	0.61	0.6	0.34
29.56	130.13	129.8	128.56	0.61	0.6	0.45
30.79	129.98	129.8	126.3	0.61	0.6	0.44
31.61	129.98	130.0	125.35	0.61	0.6	0.41
32.64	129.68	130.0	124.87	0.6	0.6	0.42
33.68	129.68	130.2	133.67	0.6	0.6	0.5
34.69	130.3	130.2	125.47	0.61	0.6	0.45
35.72	130.3	130.3	128.62	0.61	0.61	0.45
36.74	130.07	130.3	122.79	0.61	0.61	0.49
37.97	130.14	130.5	124.75	0.61	0.6	0.43
38.79	130.14	130.5	141.74	0.61	0.6	0.58
39.81	130.14	130.6	124.7	0.61	0.61	0.45
40.83	130.39	130.6	128.38	0.61	0.61	0.45
41.85	130.39	130.8	118.56	0.61	0.61	0.53
42.88	130.29	130.8	125.29	0.6	0.61	0.42
43.91	130.29	130.9	134.38	0.6	0.61	0.5
44.94	130.68	130.9	126.9	0.6	0.61	0.47
46.17	130.46	131.1	128.8	0.6	0.6	0.45
46.8	130.46	131.1	115.41	0.6	0.6	0.53
48.03	130.46	131.2	125.47	0.6	0.61	0.43
49.03	131.11	131.3	128.08	0.61	0.6	0.45
50.05	131.11	131.3	126.06	0.61	0.6	0.49
50.88	130.66	131.3	127.43	0.61	0.6	0.44
52.1	130.66	131.4	119.46	0.61	0.61	0.5
52.92	131.56	131.4	126.06	0.61	0.61	0.43
53.95	131.56	131.6	128.14	0.61	0.61	0.45
54.98	131.43	131.6	125.59	0.61	0.61	0.46
56.01	131.43	131.6	128.14	0.61	0.6	0.45
