#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	-0.6	1231.1	1253.57	1.0	0.98	0.99
0.61	-0.6	1238.0	1257.32	1.0	0.98	1.0
1.63	-0.6	1238.0	1256.85	1.0	0.98	0.99
2.66	-0.6	1243.8	1259.14	1.0	0.98	0.99
3.69	-0.6	1243.8	1261.36	1.0	0.98	0.99
4.7	-0.6	1244.1	1264.76	1.0	0.98	0.99
5.74	-0.6	1244.1	1259.43	1.0	0.98	0.99
7.18	-0.6	1243.9	1253.75	1.0	0.98	0.99
7.79	-0.6	1243.9	1255.97	1.0	0.98	0.98
8.81	-0.6	1243.8	1259.08	1.0	0.98	0.98
9.85	-0.6	1243.8	1258.96	1.0	0.98	1.0
10.87	-0.6	1244.9	1258.73	1.0	0.98	0.99
11.9	-0.6	1244.9	1258.85	1.0	0.98	0.99
12.92	-0.6	1251.5	1265.88	1.0	0.98	0.98
13.96	-0.6	1251.5	1266.29	1.0	0.98	0.99
14.99	-0.6	1251.6	1265.7	1.0	0.98	0.99
16.01	-0.6	1251.6	1267.58	1.0	0.98	0.99
17.04	-0.6	1252.2	1268.51	1.0	0.98	0.98
18.07	-0.6	1252.2	1268.75	1.0	0.98	0.98
19.09	-0.6	1253.0	1266.23	1.0	0.98	0.99
20.11	-0.6	1253.0	1265.12	1.0	0.98	0.99
21.14	-0.6	1253.8	1264.76	1.0	0.98	0.98
22.16	-0.6	1253.8	1269.69	1.0	0.98	0.98
23.18	-0.6	1254.7	1266.52	1.0	0.98	0.99
