#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	47.09	47.8	47.68	0.57	0.57	0.23
1.01	46.79	47.8	50.46	0.56	0.57	0.24
2.04	46.79	47.8	50.29	0.56	0.57	0.25
3.07	46.6	47.8	50.87	0.56	0.57	0.25
4.09	46.6	47.9	47.73	0.56	0.57	0.23
5.39	47.21	47.9	50.29	0.56	0.57	0.24
6.12	47.21	47.9	48.84	0.56	0.57	0.18
7.14	46.53	47.9	53.19	0.56	0.57	0.26
8.15	46.53	48.0	45.01	0.56	0.56	0.28
9.18	47.02	48.0	48.95	0.56	0.56	0.23
10.2	47.02	47.9	51.04	0.56	0.57	0.24
11.23	46.95	47.9	51.74	0.56	0.57	0.24
12.46	46.32	47.9	52.9	0.56	0.57	0.24
13.28	46.32	47.9	49.94	0.56	0.57	0.24
14.3	46.32	47.6	50.63	0.56	0.58	0.24
15.32	46.2	47.6	49.01	0.56	0.58	0.24
16.35	46.2	47.5	50.34	0.56	0.58	0.24
17.17	46.01	47.5	47.56	0.56	0.58	0.22
18.21	46.01	47.3	50.4	0.56	0.57	0.24
19.23	46.25	47.3	49.24	0.56	0.57	0.25
20.26	46.25	47.2	51.16	0.56	0.58	0.24
21.29	46.18	47.2	46.75	0.56	0.58	0.2
22.3	46.18	47.1	47.33	0.56	0.57	0.22
23.58	46.21	47.1	48.95	0.56	0.57	0.25
24.55	46.21	47.1	50.23	0.56	0.57	0.23
25.36	46.11	47.1	47.56	0.56	0.57	0.21
26.59	46.11	47.0	47.91	0.56	0.57	0.22
